,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Outside Sales/Account Manager,$66K-$138K (Glassdoor est.),"MALEKO PERSONNEL* provides comprehensive staffing solutions to the light industrial, manufacturing, clerical and administrative employment market place. *MALEKO* has proudly put together a team of highly skilled and seasoned professionals who understand and embrace the pursuit of customer satisfaction. This is the *MALEKO* difference. We are dedicated and committed to our core values in everything we do: day in and day out.
If you are a fun loving people person and have the knack to build long term relationships, we want to hear from you.

We are in search for an *OUTSIDE SALES PERSON* with a ""will to win"" attitude and competitive spirit to add to our *SACRAMENTO* team. In this role you will be accountable for bringing in new businesses and further developing existing businesses by means of daily high activities of cold calling, planned visits, face-to-face meetings, outbound phone calls, and persistent follow through. When you are not in the field you will be in the office assisting customers with quotes, orders, and any general customer service related questions. You must have solid computer skills as you will also utilize Outlook, Microsoft Excel and Word on a regular basis.

The ideal candidate will be versatile, have excellent communication skills and be a problem solver.

Bilingual a plus!

Advancement within the company is available for the right person.

For more information regarding *MALEKO PERSONNEL*, please visit our website at www.malekopersonnel.com.
MALEKO PERSONNEL* requires all employees to pass pre-employment background and drug screening. All applicants applying must be authorized to work in the United States. Equal Opportunity Employer.
Job Type: Full-time

Pay: $47,000.00 - $52,000.00 per year

Schedule:
Monday to Friday
Experience:
account management: 2 years (Preferred)
outside sales: 2 years (Preferred)
deal closing: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Preferred)",4.0,"Maleko Personnel, Inc.
4.0","Sacramento, CA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
1,Agency Account Manager,$66K-$138K (Glassdoor est.),"About us
We are a profitable and fast growing healthcare startup -- a small and mighty team of ~40 helping people find, enroll in and use ACA health coverage. We’ve doubled in each of the past two years and are now the largest ACA enrollment platform afterHealthcare.gov, having helped over 1.8 Million people enroll in health coverage. We're a mission-driven team who advocate for and care deeply about the people we serve.

We are a double bottom line company, which are 1) revenues and 2) enrollments in ACA coverage. Uniquely in our space, we only facilitate enrollment in on-exchange coverage. The ACA brings high quality, comprehensive and affordable health coverage within reach for low income Americans. We exist to make that promise a reality.

The Role
We are looking for an Agency Account Manager to join our rapidly growing team. You will help lead the vision and execution of the agency engagement strategies and to expand HealthSherpa’s reach. You will ensure that our brokers and agencies have the best engagement possible with HealthSherpa's systems, processes, and people.

You will report directly to the Director of Strategic Accounts and have the opportunity to make substantial contributions to the HealthSherpa Agency engagement.

Responsibilities:
Responsible for the development, training and ongoing maintenance of an effective and efficient broker channel
Identify, recruit, and train new & existing General Agencies (GA) and brokers to use the HealthSherpa enrollment platform for all ACA enrollment activities, including referring out of area clients
Develop a high functioning, high performing broker network which is strategically aligned with HealthSherpa’s mission and values.
Utilize a combination of recruitment, mentoring, education/training, and channel management techniques to ensure brokers meet objectives and enrollment targets
Assume accountability for the broker networks contribution to HealthSherpa’s enrollment volume, referral, renewal, and retention goals.
Ensure brokers follow CMS and State guidelines, along with basic ethical sales practices and adhere to established policies, procedures and industry best practices
Participate in Special Investigations that involve assigned Agency/broker/agent partnerships
Work in collaboration with other internal HealthSherpa teams and departments, such as: Agency Account Managers, broker sales, broker support, Directors, and VPs as needed
Responsible to support all aspects of agency/agent/broker trainings, compliant system usage, goal attainment, relationship and account management.
Facilitate all ongoing relationship management activities for existing GAs and brokers
Develop and implement an annual “territory marketing plan” to maximize system usage, enrollment and referral targets from assigned agencies
Engage and participate in the development and implementation of Agency and Broker trainings
Assist in business development strategies
Generate regular reports on each GA to understand productivity
Work as liaison between Agency/Broker and HealthSherpa
Assist with Agency/Broker meetings and ongoing trainings
Engage with management and peer team members to provide feedback, accept feedback, and contribute to an exceptional work environment
Other duties and responsibilities as assigned.
Knowledge / Skills / Experience:
*Required Experience*
2 - 4 years health/insurance related sales
Direct to consumer or Business to Business (B2B) selling
Sales management in a matrix management environment
Relationship building and business development
Maintain a valid driver's license and acceptable driver's record
Proficient computer skills to access customer information, utilizing technology to effectively communicate with customers and coworkers
Ability to travel 15% of the time
*Preferred License, Certification, Association*
Life & Health (Disability) Agent producer license
*Preferred Experience*
Bi-lingual
membership in related service organizations
What we offer:
Meaningful equity in a high growth, profitable, social impact company
Health, vision and dental coverage for you, your spouse and dependents
401K after grace period
Generous vacation and holidays
Catered or restaurant lunch, daily
Free parking
Closing:

Employees may, among other things, be required to undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts, and as a prerequisite to employment candidates may be asked to consent to a due diligence/background investigation. As a condition to hiring and continued employment, we require all employees to meet those requirements that are necessary to fulfill their individual roles.

We're building a diverse and inclusive work environment where we learn from each other. We welcome and encourage people of diverse backgrounds, experiences, identities, abilities and perspectives to apply. We are an equal opportunity employer and a fun place to work. Come join the team at HealthSherpa.

Applicants must be authorized to work in the US.

https://jobs.lever.co/healthsherpa/0b76019d-9f88-4356-981e-62d1e9b3f19b?lever-origin=applied&lever-source%5B%5D=Indeed

Job Type: Full-time

Experience:
relevant: 2 years (Preferred)
Sales: 2 years (Preferred)
Work Location:
One location
Paid Training:
Yes
Schedule:
Monday to Friday",4.1,"Geozoning, Inc.
4.1","Sacramento, CA",-1,1 to 50 Employees,2014,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
2,Account Manager,$66K-$138K (Glassdoor est.),"Account Manager Job Duties:
• Generate sales among client accounts, including upsetting and cross-selling
• Operates as the point of contact for assigned customers
• Develops and maintains long-term relationships with accounts
• Makes sure clients receive requested products and services in a timely fashion
• Communicates client needs and demands to employer company
• Forecasts and tracks client account metrics
• Manage projects within client relationships, working to carry out client goals while meeting company goals
• Identifies opportunities to grow business with existing clients
• Coordinate with staff members working on the same account to ensure consistent service
• Collaborates with sales team to reach prospective clients
• Service multiple clients concurrently, often meeting deadlines
• Keep records of client transactions

Account Manager Skills and Qualifications:
Account Management Experience, Client-Focused Solutions Experience, Project Management Skills, Ability to Communicate Client Needs with Staff, Talent for Influencing Client Management, Ability to Manage Multiple Projects and Relationships Simultaneously, Negotiation Skills, Listening Skills, Communication Skills, Presentation Skills, Time Management Skills, BA/BS Degree

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
8 Hour Shift
Day shift
Monday to Friday",2.3,"KNT Manufacturing
2.3","Newark, CA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Inside Sales Account Manager,$66K-$138K (Glassdoor est.),"Inside Sales

Create new customers and meet or exceed monthly sales quotas, while increasing customer satisfaction.
Job duties: *
Generating new and repeat sales by providing product and pricing information in a timely manner.
Developing relationships with new and existing customers.
Setting up and maintaining extensive customer database.
Increasing sales and customer satisfaction by means of letter writing, cross-selling and telephone sales.
Skills required: *
Exceptional phone skills; easily builds rapport and establishes strong relationships with prospects and customers.
Strong written and verbal skills.
Proficient with Access, MS Excel, MS Word, and Outlook
Strong organizational and follow up skills.
Must be enthusiastic, have a strong doer attitude and be a team player.
Job Type: Full-time

Pay: $16.00 per hour

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.hghw.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,HomeGuard Home Warranty,"San Jose, CA",-1,-1,-1,-1,-1,-1,-1,-1
4,Account Manager,$66K-$138K (Glassdoor est.),"About Us: *
MEAN WELL USA is a leading manufacturer of standard switching power supplies. Our main purpose is to offer our North American customers local sales, engineering, and technical support as well as a local warehouse to provide just-in-time delivery for any power supply requirement. This is an opportunity to join one of the leading standard switching power supply manufacturers in the world.
Job Responsibilities: *
Work closely with the sales team and the customer to provide an efficient and comprehensive service; establish and maintain solid relationships.
Managing sales order/shipment processing, qualifying sales leads and prepare quotations to customers.
Developing and increasing the growth of business with new and existing customers.
Assist in the development and implementation of marketing activities.
Travel in support of sales or training meetings, customer site visits, and/or trade shows.
Handling sales and service phone calls supporting current customers to solicit orders in an assigned territory
Answering customers' questions about products, prices and availability
Selecting the correct products or assisting customers in making product selections based on their needs, product specifications and all other applicable regulations.
Job Requirements: *
*Mandarin speaking is preferred*
Bachelor of Arts degree (B.A.) or Bachelor of Science degree (B.S.) from a four- year college or university
2-5 years of sales experience is required
Excellent working knowledge of MS word and power point
Dynamic, motivated, driven, professional and detailed-oriented
Ability to learn and retain product specific information as it pertains to the position.
Strong presentation, communication, organization, multitasking, and time management skills
Ability to communicate clearly and positively to customers as well as internal team members
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Referral Program
Vision Insurance
Schedule:
Monday to Friday
Experience:
Sales Management: 2 years (Preferred)
Language:
Mandarin (Preferred)
Work authorization:
United States (Required)
Additional Compensation:
Commission
Bonuses
Work Location:
One location
Paid Training:
Yes
Management:
Team Lead
Job Duties:
Manage multiple accounts, ensuring that a high level of customer retention and satisfaction is maintained
Meet monthly quotas
Engage with multiple customers on a daily basis by reaching out to new clients, and by developing campaigns for maintaining customer loyalty
Record changes to customer accounts, updating service packages, adding accounts, and removing accounts as needed
Other duties as requested
Company's website:
www.meanwellusa.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",3.6,"Mean Well USA Inc
3.6","Fremont, CA",-1,1 to 50 Employees,1999,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$50 to $100 million (USD),-1
5,Account Manager,$66K-$138K (Glassdoor est.),"Capital Lumber is looking for an Account Manager to join our sales team!

Our Account Managers oversee the management of customer accounts; service customers by selling products, fielding questions, and resolving customer’s issues. This position includes traveling across the Western US.
_Essential Job Duties: _*
• Sell/market Company products and services using all communications methods provided
and within the parameters set by the Company
• Quote and negotiate product prices on behalf of the Company to customers, using
independent judgment and discretion based on knowledge of current market conditions
and other factors
• Receive customer questions, concerns and complaints and exercise judgment and
discretion to resolve them on behalf of the Company
_Knowledge, Skills, & Abilities: _*
• Typically requires a Bachelor’s degree in Business or related field
• Understanding or knowledge of lumber industry and the company products and services
• Ability to multi-task and have multiple projects going simultaneously
• A strong sense of urgency for goal achievement
• Must be able to travel to assigned accounts
• Valid driver’s license and reliable transportation to assigned accounts
• Must be able to lift, carry, push, or pull up to 5 pounds 5% or less of the workday
• Must be able to sit and walk or otherwise move around for prolonged periods of time
throughout the workday.
• Must be able to use a keyboard and do manual tasks for prolonged periods of time throughout the workday.
_Why work for Capital? _*
Paid time off, dental/vision/medical insurances, retirement plan, paid time off to volunteer, fun branch activities, and more! https://www.capital-lumber.com/ Check out our Facebook and Instagram pages for more!

Job Type: Full-time

Schedule:
Monday to Friday
Work Location:
Multiple locations
On the road",4.8,"Capital Lumber Company
4.8","Healdsburg, CA",-1,201 to 500 Employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1
6,Account Manager (NWK),$66K-$138K (Glassdoor est.),"About Us: *
Steeler, Inc. is a manufacturer of steel framing and a distributor of drywall and construction materials. Steeler is the only continuously operated Steel Stud manufacturer that has been in business in the U.S.A. since 1974.

Our growing team is in need of an Account Manager for our East Bay location and surrounding areas.
What You'll Do: *
As a Account Manager your two primary roles will be developing new accounts and growing current client business. As an Account Manager you will have the support of an inside sales team to assist you with quotes and taking orders.
What We Offer: *
$50-55k base salary plus commission/bonus incentives
A sales-driven culture of growth and customer satisfaction
401(k) with company match
Medical, dental, vision and life insurance
Day to Day: *
Generate job quoting opportunities
Utilize phone and face to face sales interactions to garner new customers
Develop new accounts and rework existing non-active customers.
Sales: STDAFO (Show, Tell, Demonstrate, Ask, For, Orders)
What Makes You a Good Fit: *
3 + years sales experience in a construction related field
Building material or drywall experience is preferred
Ability to foster excellent customer relationships
Strong closing skills are required
Bi-lingual preferred
We look forward to your application.

For more information about Steeler, Inc. please visit our website at www.steeler.com.

Job Type: Full-time

Pay: $50,000.00 - $55,000.00 per year

Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
sales: 3 years (Required)
construction materials: 3 years (Required)
License:
driver's license (Required)
Additional Compensation:
Commission
Bonuses
Store Discounts
Work Location:
One location
On the road
Paid Training:
Yes
Management:
Ops Manager
Typical start time:
6AM
Typical end time:
4PM
Company's website:
www.steeler.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",2.9,"Steeler, Inc.
2.9","Newark, CA",-1,51 to 200 Employees,1974,Company - Private,Industrial Manufacturing,Manufacturing,$25 to $50 million (USD),-1
7,Account Manager,$66K-$138K (Glassdoor est.),"Advoque is a vertically integrated retail solutions company – at our core, we understand, develop, iterate, test, fabricate, and deploy display systems for retail environments. In short, we help elevate our customer's brand. With our HQ in Silicon Valley and sales in Los Angeles, Advoque works with a variety of outstanding companies that we're proud to call clients, such as Adidas, Apple, ASUS, Google, Klipsch, Lam Research, Lamarca Proseco, Logitech, Microsoft, Plantronics, Porsche, Roku, Seagate, Sonos, and Tesla.

We are looking for an Account Manager to create long-term, trusting relationships with our customers. The Account Manager’s role is to oversee a portfolio of assigned customers, develop new business from existing clients, and actively seek new sales opportunities.
Responsibilities*
Serve as the lead point of contact for all customer account management matters
Build and maintain strong, long-lasting client relationships
Develop trusted advisor relationships with key accounts, customer stakeholders and executive sponsors
Ensure the timely and successful delivery of our solutions according to customer needs and objectives
Clearly communicate the progress of monthly/quarterly initiatives to internal and external stakeholders
Prepare reports on account status
Assist with challenging client requests or issue escalations as needed
Collaborate with the sales team to participate in proposals and client meetings
Requirements: *
Account Managers act as client advocates and work with internal departments to ensure that client needs are understood and satisfied. They may assist with sales, handling client complaints, collecting and analyzing data, and improving the overall customer experience.
Computer skills including intermediate ability using MS Excel, MS Word, Gmail, and Google Sheets
Previous ERP/ Quickbooks experience
Experience working with Vendors/purchasing/scheduling and managing logistics of freight pickups and deliveries for job-related items.
Previous experience in a production environment including but not limited to, packaging, manufacturing, warehouse, or fabrication.
Proven ability to juggle multiple account management projects at a time, while maintaining sharp attention to detail
Experience delivering client-focused solutions to customer needs
We're keen on creative thinking and innovative executions to help solve our manufacturing challenges... our products define Advoque as a company and we’re searching for a professional to assist the company for powerful future growth. If you’re interested in applying for the position of Account Manager, please do so today!
www.advoque.com*
Job Type: Full-time

Benefits:
Health Insurance
Paid Time Off
Schedule:
Monday to Friday
Company's website:
Mosaic
Company's Facebook page:
Mosaic
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",1.0,"Advoque
1.0","Santa Clara, CA",-1,1 to 50 Employees,-1,Self-employed,Miscellaneous Manufacturing,Manufacturing,Less than $1 million (USD),-1
8,Employee Benefits Service Account Manager,$66K-$138K (Glassdoor est.),"Position Summary*
This temp to permanent full time position is responsible for an assigned book of business of employee benefit clients. Managing duties will include but not be limited to servicing employees of client companies. This position will interface directly with employees at the client companies as well as HR and finance departments.
Essential Duties and Responsibilities*
Maintains a professional and friendly communication with clients, insurance carriers, general agents, vendors, and internally always.
Takes initiative to handle all Account Management activities, including direct employee contact.
Acts as backup for overflow and/or absent benefits team members to support client needs and deadlines.
Acknowledges and responds to any client requests in a timely and prompt manner. Sets timeline expectations with clients if an issue is going to take time to get resolved.
Performs other tasks on projects as needed/assigned.
Responsible for negotiating on behalf of clients with specific claim exceptions, any administrative exceptions, and amendments to contracts.
Keeps current on industry trends and products.
Develop and maintain excellent carrier relationships
Ongoing consultative services including; customer service, new products, employee communications, legislative compliance
Minimum Qualifications: *
Account management experience.
Strong knowledge of employee benefits practices and procedures.
Excellent and consistent communication skills.
Proficient in MS Office Suite; specifically, Outlook, Excel, Word, and PowerPoint.
Ability to work independently with little supervision & direction.
Ability to organize and prioritize effectively.
Ability to adapt and work efficiently in a rapidly changing dynamic environment with deadline pressures.
Working knowledge and experience with various HRIS systems (ADP, Paylocity, Paycom, Kronos, iSolved etc)
Knowledge of Zywave products is desirable.
Bilingual is desirable.
Requirements: *
Active California DOI Life and Health Insurance license
At least two years of Benefits experience
Education requirement: High school diploma or equivalent
Accuracy and attention to detail is absolutely required, as well as a track record of reliability, confidentiality, and conscientious work habits.
Job Types: Full-time, Temporary

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
Employee Benefits: 2 years (Preferred)
Work Location:
One location
Employment Length:
4 - 6 months
Company's website:
www.progressivebenefit.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,Progressive Benefit Group,"Santa Cruz, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
9,Account Manager,$66K-$138K (Glassdoor est.),"This is an exciting opportunity to join an established electronic manufacturing company located in Brisbane. We are currently seeking an energetic Account Manager who is exceptionally detail oriented, a self-starter and works best in a casual, fast paced environment to join our team. We are looking for your experience in the Electronic Manufacturing Service/Contract Manufacturing with a proven ability to manage new and existing business.
Summary: *
The Account Manager is the customer advocate and is the single point of contact for our customer. Account Managers are assigned to strategic accounts.
Requirements: *
Maintains an acceptable level of Customer Satisfaction
Manages program/project inventory
Manages customer orders
Qualification & Skills required
Experience with Electronics Manufacturing
Experience with Program Management
B.S. or B.A.
We offer a good benefits package and a casual, welcoming environment.

We are an AAP and equal opportunity employer and qualified applicant must meet requirement as a US person defined by ITAR International Traffic Arms Regulation. U.S. Person definition under ITAR: U.S. Citizen, Permanent Resident, or Protected Individual (Asylee) as defined by ITAR (ITAR 22 CFR 120.15).

Qualified candidates: Please email your resume, cover letter and compensation requirements.

Job Type: Full-time

Pay: $18.00 - $28.00 per hour

Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Schedule:
Day shift
Monday to Friday
Experience:
account management: 1 year (Preferred)
sales: 1 year (Preferred)
Work Location:
One location
Management:
Team Lead
Typical start time:
8AM
Typical end time:
5AM
Job Duties:
Manage multiple accounts, ensuring that a high level of customer retention and satisfaction is maintained
Engage with multiple customers on a daily basis by reaching out to new clients, and by developing campaigns for maintaining customer loyalty
Record changes to customer accounts, updating service packages, adding accounts, and removing accounts as needed
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
Autonomous/Independent -- enjoys working with little direction
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Stable -- traditional, stable, strong processes
Company's website:
www.leemah.com",4.0,"LeeMAH Electronics, Inc
4.0","Brisbane, CA",-1,501 to 1000 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
