,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Strategy & Operations: Senior Consultant,$75K-$149K (Glassdoor est.),"Senior Consultant

Seattle, WA (REMOTE, until otherwise noted)

About the Role. . .

We are looking for a Senior Consultant to join our Seattle, WA based team. You will be responsible for owning project work streams, managing day-to-day project responsibilities, and engaging with junior resources to deliver results. Key indicators of success include a passion for business, an eagerness to learn new things, being coachable, and possessing a strong work ethic.

You should have had experience in structured professional services organizations and be gifted with an entrepreneurial flair. You should have a broad delivery capability that spans strategy, technology, and/or business. If you are looking for dynamic environment with opportunities for growth, keep reading and apply!

You have. . .
Excellent organizational, presentation, analytical, written, and verbal communication skills
Ability to be flexible and juggle multiple projects in a fast-paced environment
Strong ability to manage client expectations including in areas of scope, schedule, budget, and satisfaction
Ability to see risks and recommend mitigation approaches and identify issues while managing effective outcomes
Demonstrated ability to drive projects to timely completion
Ability to work both independently and as part of a team
Ability to mentor junior resources to help them grow professionally
Ability to lead small teams of consultants and analysts
Qualifications. . .
Have worked for a Big 4/8 management consulting firm
7+ years of project leadership and team management
Developed skills and experience in creating Value Stream Maps, managing business metrics, developing recommendations for future state processes and implementing process improvements
Led systems implementation, program execution, operations and/or process improvement engagements
An undergraduate degree in technology or business
Proficient with Smartsheet, MS Excel, MS Word
CSM and/or PMP preferred
Lean Six-Sigma certification or proficiency is a plus
About Logic20/20. . .

Logic20/20 is one of Seattle’s fastest growing full-service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

The past four years, we’ve been in the top 10 “Best Companies to Work For."" Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.",3.6,"Logic20/20, Inc.
3.6","San Francisco, CA",-1,201 to 500 Employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
1,Strategic Business Consultant,$75K-$149K (Glassdoor est.),"WHO WE ARE

Braze delivers customer experiences across email, mobile, SMS, and web. Customers, including Citi, Disney, Urban Outfitters, and Venmo, use the Braze platform to facilitate real-time experiences between brands and consumers in a more authentic and human way. And we do it at scale – each month, tens of billions of messages are sent to a network of over 1.8 billion active users through Braze.

Need more proof? Braze was named a Leader in the Gartner Magic Quadrant for Mobile Marketing Platforms in 2019. The company has also been named on the Forbes Cloud 100, Inc. Magazine's 2019 Best Places to Work, and Crain's 2019 Best Places to Work in NYC lists.

We are headquartered in New York with offices in London, San Francisco and Singapore. And we have over 400 employees and are growing!

WHAT YOU'LL DO

Braze is looking for an exceptionally talented, inquisitive, innovative, and passionate individual to join our newly formed Strategic Business Consulting team. This individual will be instrumental in shaping our value engineering practice and the way our team partners with global sales to accelerate our ever expanding enterprise business. This is an exciting opportunity to join a growing team and gain experience interacting with executive stakeholders both internally and externally.
Act as a trusted advisor to prospective and existing clients, articulating the tangible, strategic, and financial impact that Braze provides.
Deliver compelling business cases and predictive models to demonstrate how our solutions will help customers achieve their strategic business goals
Develop provocative and visionary thought leadership (i.e. white papers, executive presentations, etc.) content to accelerate and expand sales opportunities and drive demand generation
Evangelize and represent Braze at industry conferences to help grow sales opportunities and drive deals forward
Partner closely with Sales, Marketing, Customer Success, and our Business Intelligence teams to identify and quantify key business drivers and metrics at both the industry and customer level
Establish vertical expertise and craft industry-specific value propositions that ladder up to our clients' needs
Develop and/or improve new approaches of value selling based on field and customer feedback
This role will require some travel to client locations and conferences
WHO YOU ARE
3-7 years of professional experience ideally at a SaaS company in a consultative, strategic, BI and/or customer-facing role
Innovative, high energy, entrepreneurial self-starter who has experience taking initiative and owning end to end deliverables in a fast paced environment
Ability to analyze and interpret data and transform it into a compelling, customer facing story
Strong executive presence and comfortable presenting to a C-Suite audience
High level of intellectual curiosity. You see opportunity and growth in learning more about what you do and how it impacts others.
You're known for being a team player and thrive working collaboratively and cross-functionally, particularly with Sales, Marketing, Business Insights, and Product/Engineering
Solutions Solution Engineering, Partners and other partners
Exemplary written and verbal communication skills
WHAT WE OFFER

A great culture that delivers excellent benefits, and where openness, curiosity, collaboration and career growth are encouraged and supported. You will also have the opportunity to work, daily, with Braze's clients, many of whom are the most innovative and exciting global brands in the world.
Competitive compensation that includes equity
Excellent medical, dental, and vision coverage for you and your dependents
401(k) matching, life insurance, commuter benefits, and parental leave plans
Daily catered lunches and fully stocked kitchen with snacks and beverages
Collaborative, transparent, collegial and fun loving office culture
Flexible time off policy to balance your work and life in the way that suits you best
In addition, this position is exempt under the provisions of the Fair Labor Standards Act.

If you are a California resident subject to the California Consumer Privacy Act, click here to understand how Braze processes your personal information and how you can exercise your rights.",4.3,"Braze, Inc.
4.3","San Francisco, CA",-1,501 to 1000 Employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1
2,Associate Consultant (SF),$75K-$149K (Glassdoor est.),"Associate Consultant position - Healthcare and Bio-Informatics (San Francisco - USA) - Life Sciences Consulting Industry *
Adivo Associates is an international consulting firm with eleven worldwide locations. Industry segments that Adivo serves include Fortune 500 Biopharmaceutical, Medical Device, Healthcare IT, Imaging and Diagnostic companies as well as financial service companies that invest in these industry segments.

Adivo knows markets.

All work at Adivo begins with our deep understanding of global and local markets, market segments and channels as well as customer segments and behaviors. From that basis, we identify unmet needs, size opportunities and assist our clients in addressing these through innovation and product development. Our engagements include corporate planning and strategy, innovation and design consulting, M&A and licensing due diligence, asset screens and product portfolio analytics. We have broad and deep expertise in strategy, market assessments, market entry/access strategies, competitive intelligence, pricing and reimbursement, and marketing communication support for product development and launch environments.

Job description

As an Associate Consultant in the Healthcare and Bio-Informatics space with Adivo Associates you will be part of multi-national consulting projects within the healthcare industry:

• Collaborate in the fulfillment of consulting projects with special focus on global markets. This will require working closely with other consultants and project managers located in any of our global offices.

Conduct data analytics using large EMR, claims, and other datasets to support complex projects answering detailed market questions
• Conduct primary research with healthcare professionals, industry players as well as industry associations and national agencies.
• Conduct secondary research of large data sets from various data sources.
• Collaborate in the analysis of quantitative and qualitative data for the development of financial models (i.e. eNPV), market models (i.e. patient-stratification models), economic impact models, health-economic models, as well as product adoption and acceptance models.
• Develop market landscape presentations, market entry strategies, product positioning strategies, and others.
• Work to solve complex business problems.
• Participate in meetings and presentations to clients across the globe.

Your background

• A minimum 2 years of demonstrable experience within the Healthcare-IT industry or demonstrable IT-knowledge managing large data sets. (SQl, Phython and database management expertise is a plus)
• Marketing, management consulting and/or market research, reimbursement/pricing expertise is a plus.
• Flexibility to work within a multi-cultural interdisciplinary team across various time zones.
• Fluent in English and preferably speak one or more foreign languages.
• Self-motivated with exceptional organizational skills
• BA degree in Informatics is required; Advanced degree is a plus

Adivo offers:

• Full time Associate Consultant position

• Competitive base salary with outstanding bonus program
• Healthcare coverage (medical, dental, vision)
• Fitness / wellness programs
• Pro-active career development program
• Dynamic and multicultural work environment

The position is based on our San Francisco office and relocation assistance is not currently provided.

Adivo is an equal opportunity employer.

Job Type: Full-time

Job Type: Full-time",3.0,"Adivo Associates LLC
3.0","San Francisco, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Consultant (SF),$75K-$149K (Glassdoor est.),"Consultant position (San Francisco) - Healthcare Industry*
Adivo Associates is an international consulting firm with eleven worldwide locations.

Industry segments that Adivo serves include Fortune 500 Biopharmaceutical, Medical Device, Healthcare IT, Imaging and Diagnostic companies as well as financial service companies that invest in these industry segments.
At Adivo we know markets.*
It all starts with a deep understanding of global and local markets, market segments and channels as well as customer segments and behavior. From here we identify unmet needs and size opportunities, which we help addressing through innovation and produce development. Services include corporate planning and strategy, innovation and design consulting, M&A and licensing due diligence, asset screens and product portfolio analytics. We are experts in market assessments and market entry/access strategy, competitive intelligence, pricing and reimbursement assessments, and marketing communication support for product development and launch environments.
Job description*
As a Consultant you will be part of multi-national projects in the healthcare industry:
80% of you time will be dedicated to collaborate on the fulfillment of consulting projects with special focus on specialty pharmacy markets in the US and globally.
This will require working closely with other consultants and project managers located in any of our offices.
Conduct primary research with healthcare professionals, industry players as well as industry associations and national agencies.
Conduct secondary research of large data sets from various data sources.
Collaborate in the analysis of quantitative and qualitative data for the development of financial models (i.e. eNPV), market models, economic impact models, health-economic models, as well as product adoption and acceptance models.
Develop market landscape presentations, market entry strategies, product positioning strategies, and others.
Solve complex business problems and falsify clients’ business hypothesis
Participate in meetings and presentations of findings to clients across the globe.
Your background*
You will have at a minimum 4 years of demonstrable experience within healthcare industry preferably in the specialty pharma environment
Marketing, management consulting and/or market research, reimbursement/pricing expertise is a plus.
You should also show adaptability to work remotely with multi-cultural interdisciplinary teams across various time zones.
You will be fluent in English and preferably speak one more foreign language.
You will need to be self-motivated and have exceptional organizational skills
Although not required an advanced degree (MD/PhD and/or MBA) maybe a plus
Adivo offers: *
Full time Consultant position
Competitive base salary with outstanding bonus program
Healthcare coverage (medical, dental, vision)
401K program
Free fitness and/or wellness program
Pro-active career development program
Dynamic and multicultural work environment
Adivo is an equal opportunity employer.

Job Type: Full-time

Job Type: Full-time",3.0,"Adivo Associates LLC
3.0","San Francisco, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,U.S. Consultant,$75K-$149K (Glassdoor est.),"JOB DESCRIPTION



If you are a bright, motivated leader interested in tackling some of the toughest and most interesting business problems, consider joining L.E.K. as a Consultant.

The Consultant role is at the core of our case team structure. Coming from diverse backgrounds and using their creative problem-solving and managerial skills, Consultants at L.E.K. guide our case teams to provide clients insights with impact. You will make a difference by driving our teams to deliver actionable advice and strategies to help our clients win.

Consultants at L.E.K. manage a team of Associates and/or Associate Consultants right from the start, and are on point to ensure the team is addressing client problems and delivering an answer. While every case is different, Consultants’ primary responsibilities typically include:
Breaking down and outlining the client’s key strategic issues
Designing and supervising the team’s core research tasks and analyses day-to-day
Developing presentation and other deliverable structures
Participating in the communication of project conclusions to client senior management
Providing guidance, mentorship, and feedback to more junior staff
L.E.K. recruits the best and the brightest and offers very competitive compensation and benefits. In addition to immediate management responsibility and high-impact work, we promote Consultants to Managers as fast as they develop, based on demonstrated performance and contributions.

Click here for more on the Consultant experience at L.E.K.

WHY L.E.K.?

The Consultant role at L.E.K. is differentiated from other firms in several key ways:
Immediate management responsibility: Consultants have the opportunity to manage the case process and Associate team from day 1 (L.E.K. hires two undergraduates for every new Consultant).
Breadth of experiences: While our projects span most industries and services, our focus is strategy and M&A. Consultants typically work on ~6-10 projects a year, providing greater exposure across clients and strategic issues, as well as faster development of business acumen.
Fun, stimulating work environment: L.E.K. teams spend substantially more time in their home office relative to teams at peer firms, and we pride ourselves on a vibrant social culture, including case team events, office parties, non-profit involvement, and much more.
International exposure: Approximately one-third of L.E.K. projects involve an international component, which allows Consultants to work on international case teams or, if they choose, to relocate to international offices on either a temporary or a full-time basis.
Upward mobility: L.E.K. is a meritocracy with an entrepreneurial culture and frequent feedback. Promotion paths do not follow a strict timeline; we promote people as quickly as they develop.

QUALIFICATIONS

While we do not use a rigid checklist, we look for a combination of attributes that provide an excellent foundation for a successful career at L.E.K., including leadership, drive, intellectual curiosity, analytical ability, teamwork, and uncompromising ethics. Consultants at L.E.K. typically have MBAs and/or a number of years of relevant business experience.

L.E.K Consulting is an Equal Opportunity Employer.",3.3,"L.E.K. Consulting
3.3","San Francisco, CA",-1,1001 to 5000 Employees,1983,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
5,Consultant,$75K-$149K (Glassdoor est.),"Pariveda is not actively hiring, but we are always looking to connect with successful, talented people who align with our values and mission. We welcome you to apply for general consideration.
Pariveda, a firm named Best Places to Work by Glassdoor four years in a row, is a people first organization dedicated to growing your career and providing you with opportunities to always stay on the learning edge of technology and business. We hire bright individuals who are unafraid of challenges, thrive on problem solving, and are passionate about helping others succeed. You will be challenged, supported and encouraged to grow yourself towards your fullest potential.
Pariveda’s Story
In 2003, we asked one simple question. Can a technology consulting firm be successful by focusing first on growing the individual to their fullest potential? We believed that through an unwavering commitment to developing people we could create a different kind of company. We created Pariveda. It is through this belief in helping the individual, counter to industry norms, we have grown revenue each and every year since 2003. We are passionate about creating interesting solutions to the unknown/unmet needs of our clients and to grow, both our people and our clients, through those experiences.
We believe in the efficiency of small teams working together to solve complex problems leveraging strategy and technology. At Pariveda, we integrate information technology into the fabric of businesses across the breadth and depth of their value chains. We call this the Business of IT®. We believe in growing deep relationships with our people, our clients and others in our networks. Trusted relationships are integral to everything we do - from relationships with the people with whom we work, the people we partner with at our clients, or the people we interact with in our communities. We believe trusted relationships are built through challenging and exhilarating experiences that make a difference to clients and communities. You will discover people here are passionate about their work. You will discover our openness in developing you and growing as our expectations are openly communicated to you and provide opportunities for you to evidence your readiness to move to the next level. And together we seek to be difference-makers in our industry and the communities where we live by always learning, coaching more, and giving back.
We serve clients ranging from Fortune 100 to Global 2000 to startup companies and spanning multiple industries. We provide company ownership through our Employee Stock Ownership Plan (ESOP) from your very first day of work with us. Our people live and work in local communities within the thriving cities of Atlanta, Chicago, Dallas, Houston, Los Angeles, New York, Philadelphia, San Francisco, Seattle, Toronto, and Washington DC.
#LI-MZ1",4.9,"Pariveda Solutions
4.9","San Francisco, CA",-1,501 to 1000 Employees,2003,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
6,Operations & Strategy Leader,$75K-$149K (Glassdoor est.),"Nurx is on a mission to change the way healthcare is delivered, making it more accessible and affordable for patients, nationwide. With a specialty in sensitive health, we have built the industry-leading telehealth platform that spans consultation, diagnoses and fulfillment (right to your door). We are committed to revolutionizing the healthcare industry and that's where you come in!

The Ops Strategy Leader will operationalize Nurx's growth through demand planning, operational execution, and stakeholder collaboration. In addition, this position will own relationships with external partners and drive internal initiatives, in pursuit of providing the best patient experience.

Today we have more than 275,000 patients, are growing 90% year-over-year, and operate in 30 states. We are lucky to count Kleiner Perkins and Union Square Ventures as investors and Chelsea Clinton and Regina Benjamin as Board Members.

What You'll Do
Be part of a cross-functional team responsible for the execution of Nurx's platform growth strategy.
Evaluate large amounts of information and data quickly and effectively to reduce complexity and make actionable recommendations
Partner with the heads of product and operational functions to use data and insights to make informed decisions
Conduct large, cross-functional projects and build consensus with senior leaders across the organization
Knowledge, Skills & Abilities
Strong awareness and point of view into macro industry trends in Nurx's space and beyond.
Desire to go deep into processes and partnerships in order to drive operational excellence.
Self-motivated, detailed oriented, comfortable with ambiguity, and able to switch between many hats in a day.
Passion to do whatever it takes to solve complex problems and build scalable processes
Excellent communication skills with a proven ability to collaborate well with colleagues.
Minimum Qualifications
4+ years of relevant experience working in technology, media and entertainment, consulting, investment banking, or equivalent environment.
BA/BS degree or equivalent work experience.
Preferred Qualifications
Experience advising a variety of senior executives on complex business issues with strategic, investigative, and solutions-oriented guidance.
Strong leadership skills and ability to guide and connect teams in exploring complex data reasoning and investigation.
Proven record of executing freely at a high level against short timelines in a fast-paced industry.",3.5,"Nurx, Inc.
3.5","San Francisco, CA",-1,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1
7,"Manager, Strategy & Transformation",$75K-$149K (Glassdoor est.),"Own Your Career

We deliver unparalleled opportunities to drive your career advancement and we have a rewarding employee-focused culture to support it.

One word: opportunity. Our professionals embrace our ""Own Your Career"" philosophy – sustained growth means creating new opportunities for experienced consultants at all levels of our organization.

Now is the time to truly own your career and deliver real value to some of the world's most valuable Fortune 100 brands, growth companies transforming their industries, and mid-market firms that need help navigating the defining moments of their lifecycle. Be a part of a collaborative organization with a commitment to learning. Work side by side with business leaders to solve complex client challenges. At MorganFranklin Consulting, a big, bold future awaits you.

The Team – Strategy & Transformation

Join a team of talented professionals with deep business and finance transformation experience to guide clients through major transactions (M&A, carve outs, IPOs), new system implementations, and organizational challenges. We help organizations develop business strategy and execute on transformation initiatives in the areas of operational accounting, financial process improvement, financial technology enablement, FP&A, and transactions.

Your Impact
Work with a diverse set of commercial clients ranging from growth and mid-size companies to leading enterprise Fortune 100 brands.
Deliver strategic advice and solutions to C-Level executives on how to obtain value from major investments and transformations.
Facilitate client working sessions ranging from executive and board level meetings to large group presentations and requirements gathering exercises.
Lead current state assessments of business challenges and build improvement roadmaps.
Leverage a ""roll-up your sleeves"" style to develop and execute against clients' strategic initiatives.
Manage and coach project teams to deliver complex engagements.
Participate in business development efforts across all stages (market analysis, client sourcing, relationship building, proposal development, oral presentations).
Build and maintain meaningful relationships with clients at all levels that are based on integrity and trust.
Contribute to industry best perspectives on the implications of market trends such as data and digital transformation, emerging technology, macro-economic trends, regulatory demands.
Your Experience

Minimum Qualifications
BA/BS in Business, Accounting, Finance, or related discipline
5+ years of client-facing experience in a professional services organization, and/or highly relevant industry experience in Finance, Operations or Accounting
Demonstrated track record helping companies undergo major transformations
Functional experience with the following:
Standing up and managing major PMO organizations (particularly in a Scrum or Scaled Agile model)
Finance Transformation, including work with tools and processes associated with Close and Consolidation, FP&A, Order to Cash, Procure to Pay, or Treasury Management
Business Transformation, including process optimization (BPR, Six Sigma/Lean), process automation (i.e. RPA), and performance benchmarking
Prior experience working directly with and advising C-Level executives, including experience presenting complex ideas and facilitating executive workshops
Highly effective interpersonal skills and emotional intelligence
Willingness to travel at least 50% of the time
Preferred Qualifications
Master of Business Administration (may substitute for business-related undergraduate degree)
Progressive responsibility in managing client relationships and achievement against business development goals",4.2,"MorganFranklin Consulting
4.2","San Francisco, CA",-1,201 to 500 Employees,1998,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
8,Senior Consultant,$75K-$149K (Glassdoor est.),"Job Title:
Senior Consultant
Job Description:
Senior Consultant-SAP Ariba SIPM/SLPRRF-11-192002-0478(https://bristleconeonline.sharepoint.com/sites/pwa/SitePages/ResourceRequestForm.aspx?RRFNO=11-192002-0478)

Job Description Summary:

JOB DESCRIPTION\ Roles Responsibilities\ \ Adept at designing and implementing SAP Ariba SLP solutions for clients\ \ Client interaction during entire project lifecycle\ \ Ensure high customer satisfaction through ontime inscope delivery of projects\ \ Expertise in defining solution strategy and conducting workshops to gather customer requirements\ \ Prepare detailed functional specs for integration activities\ \ Guide business process and configuration design choices based on knowledge of Ariba capabilities and constraints\ \ Conduct user training\ \ Facilitate integration and user acceptance testing\ \ Support business users with process or system issues\ QUALIFICATIONS\ \ 5 years of implementation experience in area of Ariba SLP SIPM or Sourcing solutions with atleast one implementation of Ariba SLP\ \ 3 full cycle implementations of Ariba SLP SIPM or Sourcing\ \ Must have Ariba configuration and customization experience\ \ Excellent communication documentation and presentation skills\",3.5,"Bristlecone
3.5","San Jose, CA",-1,1001 to 5000 Employees,1998,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
9,Business Transformation Consultant,$75K-$149K (Glassdoor est.),"Company Description

Sia Partners is a next generation consulting firm focused on delivering superior value and tangible results to its clients as they navigate the digital revolution. With over 1,650 consultants in 16 countries, we will generate an annual turnover of USD 300 million for the current fiscal year. Our global footprint and our expertise in more than 30 sectors and services allow us to enhance our clients' businesses worldwide. We guide their projects and initiatives in strategy, business transformation, IT & digital strategy, and Data Science. As the pioneer of Consulting 4.0, we develop consulting bots and integrate AI in our solutions.

Job Description

Our values have led us to two decades of global expansion. Our Greater Bay team is a key part of that story, supporting many of the biggest names in Technology with our expertise in growth marketing and business transformation. We are looking to meet talented candidates with at least five years of client-facing consulting experience in at least two of the following disciplines:
Program/Project Management
Business Analysis
Change Management
Process Improvement & Automation
Finance/Fintech
B2B/B2C Marketing
We’re especially interested in speaking with candidates who have experience with Facebook, Amazon, Netflix and Google- the aptly named FANG companies - and their advanced technologies to acquire and retain users. Certifications in these areas are always preferred (PMP, Prosci, Lean Six Sigma, etc.).

This is an opportunity to join a rapidly growing team in the Bay Area that serves some of the most exciting and highly respected businesses in the world. You will have the opportunity to provide clients with original thinking and customized solutions and you’ll often have the satisfaction of seeing the impact of your work on the business. We are particularly committed to a healthy work-life integration.

BENEFITS
Generous PTO, including paid Parental leave
Healthcare that includes dental and vision, life insurance and 401K matching
Career advocacy program that supports achieving personal development goals through coaching, collaboration and real-time feedback
Robust learning and development platform through the Sia Institute, 360 Learning App, Sia Blend App, working groups, US Training sessions, and reimbursement for continuing education and certifications
Women at Sia Club
Annual Seminar/a value add experience to network with your colleagues across North America and other regions
Opportunities for geographic mobility if desired
Work directly with clients; perks often include flexibility, shuttle… endless snacks
Qualifications

STILL INTERESTED? TELL US ABOUT YOUR…
Consulting / Agency experience
Academic successes
Data supported success stories
High impact work product
Cross-functional experience
Growth from failure
Innovation and initiative
Powers of persuasion
Extracurriculars
Additional Information

We are an equal opportunity employer that values collective diversity, equity, inclusion and belonging. Our goal is to develop a work environment where everyone feels safe to be their authentic self and valued as part of the Sia Village.",3.9,"Sia Partners
3.9","Palo Alto, CA",-1,1001 to 5000 Employees,1999,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
