,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Sr. Data Scientist,$108K-$169K (Glassdoor est.),"The Commercial Lines BI team at Woodruff Sawyer is a newly founded capability to enhance the organizations capacity in providing data-backed insights to its clients seeking P&C and liability insurance. The members of this team will work closely with the VP of Commercial Lines Business Intelligence and other enterprise stakeholders to develop and roll out analytics solutions. A successful candidate will apply data science methodologies, actuarial methods, knowledge of insurance, and the latest technological tools to create reusable business intelligence assets.

What you will be doing:

With limited guidance from the leaders, managers, or project leads:
Primarily collects, prepares and analyzes data from various sources.
Executes formal exploratory data analysis for data science projects.
Develops re-usable templates and reports for the review and feedback by other team members.
Prepares analysis summaries and provides to the colleagues and leaders.
Conducts data research and presents findings.
Identifies areas of more in-depth analysis and builds prototypes for IT implementation.
Required Qualifications:
A graduate degree in any of the quantitative disciplines, e.g., Actuarial Science, Math, Engineering, Stats, Finance, or a related discipline.
Knowledge of basic data science algorithms demonstrable through internships, coursework, or a combination.
2+ years of experience in visual analysis packages such as Tableau / Power BI.
2+ years of experience in programming using Python or R.
Skilled in developing presentations in PowerPoint or equivalent.
2+ years of work experience in an insurance or FINTECH environment as a data scientist or BI analyst. (4+ for an undergraduate).
Knowledge of common insurance terminologies. A couple of actuarial exams is a plus.
What you'll be getting from us:
The opportunity to work with sharp, motivated co-workers in a collaborative and entrepreneurial team
A flexible work schedule
A fun office in vibrant downtown San Francisco
Security for your future: Employee Stock Option Program (ESOP), 401K with company match and profit sharing
Medical, Dental and Vision benefits for employees and families (including domestic partners)
Life Insurance, short term and long-term disability benefits
Paid vacation, holiday and sick days
Tuition reimbursement
Access to an Employee Assistance Program
Fun company and team outings",3.9,"Woodruff-Sawyer & Co.
3.9","San Francisco, CA",-1,201 to 500 Employees,1918,Company - Private,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),-1
1,Lead Data Scientist,$108K-$169K (Glassdoor est.),"Our mission is to make the best mental health tools radically accessible for everyone.

We are pioneers in building personalized digital mental health tools to help millions of people with mental health difficulties. We are building a suite of regulated, prescription only digital therapeutics as well as a sophisticated delivery platform capable of responding to the lived experience of our users.

Our tools are powered by the latest research in NLP and ML, use scientifically proven techniques from Cognitive Behavior Therapy, and are based on 10 years of intervention science at Stanford University. Our founder has an international reputation in Digital Mental Health intervention development. And our Chairman is Andrew Ng; and Dan Jurafsky is a member of our advisory board, both globally recognized leaders in AI/NLP.

There has never been a better time to use your data science skills for good. Given the recent acceleration in infrastructure to allow for the meaningful adoption of DTx, our strong product reputation and existing relationships within health systems, Woebot is in a period of explosive growth. We are looking for a product-minded data scientist to continue to create value for our users, customers, and execute on our IP strategy.

What you will do:

As a leader in the Product team, you will work cross-departmentally with clinical and engineering team members to build machine learning and AI algorithms that are the core of Woebot's intelligence. There are four areas we want you to own and drive:

Drive An Insights & Analytics Culture
You will help create data analysis and analytics pipelines that improve not only the underlying ML algorithms but also the product and the user's experience.
You will lead a team of Analysts and be responsible for good data driven hygiene, including the creation, redesign, and maintenance of analytics dashboards and BI tools such as BigQuery, Google Data Studio, or Tableau.
You will also advise on data labeling strategy so that Woebot's conversational engine is continuously improved and informs changes in features, content, and UX.
Improve User Personalization:
Woebot exchanges 4.7 M messages with our users every week. You will create & lead a data-driven personalization strategy for this audience.
We consider personalization to be key for developing a relationship over time while delivering precision interventions, that is; the right method to the right person at the right time.
Contribute To Evidence:
In the next 6 months, you'll help Woebot develop evidence & trends to demonstrate the value of our highest priority products.
You're helping answer the most pressing questions in the mental health field around engagement, dose, and treatment outcomes.
In partnership with our Clinical team and academic partners, we expect you to contribute to our pipeline of peer-reviewed published research.
In addition to some platform-related pieces, you will lead publication in Data Science and HCI research.
What Your First 90 Days Could Look Like
By Day 30 - Assess the lay of the landscape & team - and make suggestions around in house analytic tools, dashboard and strategies.
By Day 60 - understand the roadmap with our founder and reverse engineer our tailored interventions. Deliver a prioritized list of roadmap items.
By Day 90 - Submit your first publication. Execute on a plan for improving user outcomes with our analytics and ML.
Role Specific Competencies:
PhD in Data Analysis or ML/AI or computational field with 8-10+ years of applied experience
Knowledge of one or more modern ML/NLP frameworks, such as PyTorch, Tensorflow, or Keras
Track Record of publishing in peer reviewed academic literature
You've led and managed other analysts and data scientists.
Strong written and verbal communication skills
What you will add to our culture:
Strong work-ethic: Works hard to get a job done.
Proactive & flexible: Able to hit the ground running, takes responsibility for finding a way to get the job done.
Empathic: Place a high value on user-experience, are a team player motivated to help others be successful.
High standards: Applies high standards toward everything.
Humble: You want to learn and grow in the role, and are open to feedback on how to do that.
What we offer:
Competitive Salary
Stock Options
Flexible PTO
Health, Dental & Vision
Healthy Snacks & Meals
Woebot is an equal opportunity employer and we deeply value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",4.1,"Woebot Labs Inc
4.1","San Francisco, CA",-1,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
2,Associate Scientist / Scientist - Immunoassay Development and Validation,$108K-$169K (Glassdoor est.),"Associate Scientist / Scientist - Immunoassay Development and Validation

Location: South San Francisco, CA
Position: Full Time
Primary Responsibilities: *
Perform QC testing following SOP and applicable guidelines
Document QC procedures, organize QC data and maintain detailed records following applicable guidelines
Design and implement quality control program and SOPs for immunoassay products
Immunoassay development, optimization and validation
Design document and procedures for immunoassay validation and testing
Communication with team members and external collaborators
Qualifications and Desired Skills: *
B.S.*/*M.S./Ph.D. in biochemistry, molecular biology or related discipline
A minimum of 3-5 years of relevant industry experience
Extensive experience in immunoassay testing, development, optimization and validation preferred
Demonstrated project management experience
Experience with bead-based immunoassay development preferred
Detail oriented, and have excellent organizational, record keeping, and communication skills.
A strong work ethic to generate high quality data under tight deadlines, collaborative and proactive attitude a must.
About BioCheck: *
BioCheck develops and manufactures high-quality immunoassay test (ELISA, POCT chemiluminescent immunoassay and Simoa assays) kits for the worldwide healthcare markets in their cGMP and ISO 13485 certified facility in the San Francisco Bay Area. BioCheck also provides custom immunoassay development and contract manufacturing services to the diagnostic and research industries. BioCheck is an Equal Opportunity Employer that offers a competitive and comprehensive employee benefits package, including health, dental, life insurance, a flexible spending plan, paid vacation and a 401(k) match and investment plan.

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Education:
Master's (Preferred)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Stable -- traditional, stable, strong processes
Team-oriented -- cooperative and collaborative
Work Remotely:
No",1.0,"Biocheck
1.0","South San Francisco, CA",-1,Unknown,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
3,Scientist/Senior Scientist - Molecular Biology,$108K-$169K (Glassdoor est.),"GenEdit is an early stage company developing the next-generation therapeutics for genetic and other diseases through safe and efficient delivery of gene therapeutic drugs. Our technology platform is based on non-viral, biocompatible polymer nanoparticles for the targeted in vivo delivery of nucleic acids, proteins, or ribonucleic acid-protein complexes (RNP) to specific organs or cell types. GenEdit fosters a dynamic start-up environment where self-driven, enthusiastic employees thrive. We are based in South San Francisco, CA and currently expanding across all functions within the organization.
Job Description*
The position focuses on developing and applying next generation sequencing and other genomic technologies for efficient and high throughput measurement of non-viral vector distributions across cell types in small and large animal models. This full-time position scientist will be responsible for designing, generating and screening DNA-based libraries to facilitate the development of nanoparticles for future gene therapy programs.

This is a unique opportunity to work at the intersection of genomics and therapeutics and participate in the development of a transformative technology. The successful candidate will be a highly collaborative, resourceful, and effective team-player who is enthusiastic in tackling challenging complex scientific and technical problems with novel approaches and solutions.
Experience and Requirements*
· PhD in molecular biology, biochemistry, biomedical engineering, or a related field

· Extensive experience with molecular biology, design, and generation of DNA libraries.

· Knowledge and understanding of using next-generation sequencing.

· Experience using various _in vitro_ expression systems and _in vivo _models.

· Transition new technologies from proof-of-concept to standardized workflow

· Educate and train teams to understand and apply newly developed methods

· Knowledge and hands-on experience with CRISPR-Cas9 or nucleic acid delivery a plus

· Experience in primary cell culture or nanoparticle formulation is plus

· Some experience with using Python or other scripts for data analysis

· Highly motivated scientist with attention to detail and the ability to independently plan, design and implement experiments

· Work authorization in the US required.

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Education:
Doctorate (Required)
Work authorization:
United States (Required)
Company's website:
www.genedit.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,GenEdit Inc,"South San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Senior Applied Scientist,$108K-$169K (Glassdoor est.),"Company Overview*
Spiketrap’s AI-powered consumer intelligence platform helps global brands make better, more informed decisions, based on audience conversation. Our real-time data allows you to analyze brand perception, campaign performance, and identify trends from the most robust collection of data sources specific to the video game and entertainment industries.
Job Description*
Here at Spiketrap we are on a journey to understand natural language at scale by leveraging and designing novel machine learning and NLP technologies. You'll be joining our Science team and together we'll solve complex problems at the intersection between natural language and data visualization.
What you will be doing*
Design and develop solutions to improve our ability to understand and generate natural language
Identify new opportunities to apply machine learning and other AI technologies across our product
Collaborate across research, engineering, product management, and design to implement scalable and robust solutions to power insights for our customers
Maintain technical documents and communicate results to diverse audiences with effective writing, visualizations, and presentations
What you have*
5+ years of professional industry experience
You have a PhD or Master's degree in Computer Science or related field
Strong analytical and quantitative skills
Ability to review and write scientific papers
Extensive experience at manipulating data and drawing insights from large data sets
Knowledge and experience with a variety of machine learning techniques and their real-world advantages and drawbacks
Ability to clearly and effectively communicate the results of complex analysis to a broad audience
At Spiketrap we welcome and encourage a diverse and supportive culture. You'll be working in a humble, hardworking, and above all, collaborative workplace. We look for people who are creative, curious, and aim to be a little better every single day.

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Flexible Schedule
Health Insurance
Life Insurance
Paid Time Off
Parental Leave
Vision Insurance
Schedule:
Monday to Friday
COVID-19 considerations:
Spiketrap is currently working from home due to the Covid19 pandemic, however, the expectation for this position would be to relocate, if necessary, to the San Francisco Bay Area once it is safe.

Education:
Master's (Required)
Work authorization:
United States (Required)
Application Question:
Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?
Company's website:
www.spiketrap.io
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",-1,Spiketrap Inc,"San Francisco, CA",-1,1 to 50 Employees,2016,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
5,Food Scientist,$108K-$169K (Glassdoor est.),"SUMMARY:
This position, under general supervision, is responsible for leading product development projects developing moderately complex formulas, processing procedures, and specifications for new products and product enhancements to meet project parameters and customer needs. The incumbent may also provide technical support to Marketing, Sales, Operations, and external customers.

DUTIES AND RESPONSIBILITIES:
Develops experimental formulas, processing procedures, and specifications for raw ingredients, subassemblies and finished products for simple new products, product improvements, and cost reductions that meet project parameters of established pricing, marketing goals, food regulations, and operational feasibility.
Organizes and manages moderately complex test runs to validate or modify experimental formulas and processing procedures to develop final specifications for the production of finished products and ensure reproducibility.
Works with team members to ensure successful start-ups of new products, product improvements, cost reductions, and ingredient, formula, specification, or process changes.
Provides technical solutions to production issues as it relates to ingredient, formulas, processing procedures, and specifications to ensure continuous production of existing products and maintain product quality and safety.
Documents work according to established procedures and guidelines, provides timely and effective oral and written communication and prepares various project reports to project team and project leader to ensure complete communication of project status, progress, issues, solutions, timeline, and accountability.
Supports innovation in the development of new ideas, new products or new product platforms through ideation sessions and bench top experimentation, along with the ability to effectively communicate the concept.
Works with Food Scientists to identify and implement projects involving new processes, processing technology, and equipment.

SKILLS AND QUALIFICATIONS:
Bachelor of Science degree in Food Science, Culinology, Foods and Nutrition Studies, Plant Science, Biological Sciences, Engineering or related fields.
3-5 years related experience.
Intermediate communication and interpersonal skills.
Intermediate PC skills including Microsoft Office Suite, particularly Excel and Word.
Intermediate knowledge of Algebra, Geometry, Physics, Chemistry, and Statistics.
Intermediate knowledge and understanding of food ingredients, food chemistry, food processing, and food functionality.
Ability to comprehend moderately complex technical articles, research papers, or presentation.
Must be able to apply technical knowledge learned.
Intermediate ability to define problems, collect data, establish facts, draw valid conclusions, and offer solutions.
Ability to taste and ingest any type of food product currently under development.
Preferred experience in Product Development.
SupHerb Farms is an Equal Opportunity Employer",3.6,"SupHerb Farms
3.6","Turlock, CA",-1,51 to 200 Employees,-1,Subsidiary or Business Segment,Food Production,Agriculture & Forestry,$10 to $25 million (USD),-1
6,Reporting & Analytics Manager,$108K-$169K (Glassdoor est.),"Position Summary:
The Reporting & Analytics Manager offers direct support to the Client Service team by supervising the creation of standard reporting dashboards, while also leading the development of special reports and analysis for the Analytics team. This person works in close conjunction with the Director of Analytics and the Analytics Team to provide ongoing reporting maintenance and improvements, answer client service team questions, and deliver meaningful and comprehensive analysis to our clients.
Duties & Responsibilities:
Manage agency reports in Tableau, ensuring accuracy and usefulness of reporting dashboards for internal and external clients, including:
Train Client Service team on overview of system, project set-up and data transfers, and troubleshoot problems
Perform upgrades/fixes to dashboards and database as needed, in conjunction with database administrator and programmer
Own overall quality control of the reporting dashboards, performing periodic quality control checks to ensure accuracy and completeness
Manage the onboarding of new clients and import data necessary and relevant to agency scope of work.
Assist Director of Analytics in expansion of standard reporting dashboards, as needed to meet client needs
Adopt and improve standard quality control procedures for client data, ensuring accurate categorization of all information, along with comprehensive documentation
Develop data exchange protocols for all clients, including plain English and technical definitions of the data needed and methods for transfer
Creation of standard analytics reports including Donor Dynamics 5-year trend report, Donor Profiles donor file snapshot, Scenario Builder forecasting tool, Upgrade/ Downgrade analysis, Multi-channel analysis, Long-Term Value and Benchmarking reports, ad-hoc reports, as necessary
Maintain SQL templates and processes for each client, working through definitions, and mapping of data
Other duties, include:
Nightly review of network reports for any issues that may arise
Maintain client budget template and changes
Promptly respond to all client team requests and emergencies
Projects as assigned by the Director of Analytics
Essential Qualifications:
To perform this job successfully, a person must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable persons with disabilities to perform the essential functions.
Education, Experience & Knowledge:
Degree or related previous experience in Mathematics, Computer Science, Information Systems, or related field
A solid understanding of SQL, rational databases, and normalization
Proficiency in use of query and reporting analysis tools
Competency in Excel (macros, pivot tables, etc.)
Experience in developing, maintaining, and managing Tableau driven dashboards & analytics and working knowledge of Tableau administration/architecture
PHP/HTML/CSS/JS experience and nonprofit fundraising experience preferred
Skills & Abilities:
Ability to consider and evaluate problems and produce viable solutions
Ability to translate complex problems clearly and in nontechnical terms
Attention to detail, ensuring agency reporting tools are accurate and complete
Top-notch customer service skills
Excellent written and verbal communication skills, with the capability to explain complex data and technological issues to an audience with varying levels of understanding
Meets department productivity standards and set goals
Abide by internal and external codes of ethics with regards to information maintained
Excellent organizational and project/ time management skills
Ability to prioritize multiple daily tasks and long-term goals within the overall Analytics Team priorities
Ability to establish work priorities and integrate daily tasks and long-term goals with the overall department priorities
Initiative, able to work independently, identify problems and offer solutions
Excellent proof-reading skills
Personal Characteristics:
Positive “can-do” attitude
Enthusiastic problem solver
Interest in professional growth, with a desire to learn more about multi-channel marketing and with data-driven marketing strategy
Interest in progressive social issues, including the environment, foreign policy, aid and development, human rights, women’s rights, LGBTQ+ issues, electoral politics, etc.
Physical Demands:
While performing the duties of this job, the employee is regularly required to remain in a sedentary stationary position, often sitting (or standing if at standing desk) for prolonged periods; communicate via phone, email, and/or in-person with others inside at outside the agency in order to exchange information; repeat motions that may include the wrists, hands and/or fingers.",5.0,"Mal Warwick Donordigital
5.0","Berkeley, CA",-1,51 to 200 Employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
7,"Scientist, Human Genetics",$108K-$169K (Glassdoor est.),"NGM Biopharmaceuticals, Inc. is a clinical stage biotech company dedicated to discovering and developing the next generation of medicines for the treatment of serious diseases. Our experienced scientific team has joined forces with an impressive group of industry professionals, Nobel Laureates and other distinguished researchers to form a company where innovation and cutting-edge science has provided the foundation for a robust drug discovery engine. To date, NGM Bio has generated a pipeline of seven drug candidates in various stages of development targeting liver, metabolic and ophthalmic diseases and cancer. The most advanced drug candidate, NGM282, is entering Phase 2b clinical studies in non-alcoholic steatohepatitis (NASH). NGM’s strategic collaboration with Merck, which was extended to March 2022, will continue to provide us with the resources and flexibility to pursue our ambitious R&D goals and further extend our pipeline of novel drug candidates.

We are currently seeking a driven and creative Scientist to join our rapidly growing human genetics team. The ideal candidate will be an eager-to-learn, self-motivated team player driven by their scientific curiosity and enthusiasm for drug discovery. The primary responsibilities will include shepherding the development of new human genetics-guided target discovery projects and leading analysis and interpretation of genotyped biobank and clinical trial data. The new team member will be expected to work within a cross-functional team generating high-quality human genetics data to fuel NGM’s drug discovery engine.
Responsibilities
Design and perform research in human genetics-guided target discovery and validation
Establish and optimize pipelines for analysis of human genetics data
Employ modern data analysis strategies to elucidate new insights from human genetics datasets
Apply pharmacogenomics approaches to support NGM’s clinical programs
Introduce new ideas and methodology to enhance research productivity
Stay abreast of the latest scientific advancements in human genetics
Present results to senior management and other research staff
Required Skills and Experience
PhD degree in Human Genetics or related field
Sustained productivity evidenced by high quality publications
Must exhibit a strong understanding of methods in population and/or statistical genetics including, at a minimum, GWAS, burden testing and mendelian randomization
Expertise in computational tools for large scale genetic analyses (e.g. PLINK) and statistical computing or programming languages (e.g. R, Python).
Previous experience in biological fields outside of Human Genetics is preferred
Previous experience in some wet lab techniques is preferred
No prior industry experience required
Additional Requirements
Highly motivated by passion and curiosity for science and drug development
Independent, innovative, and creative thinker
Excellent attitude toward teamwork and collaboration
Outstanding written and verbal communication skills
Strong organization and time management skills
NGM offers a creative, collaborative, highly challenging scientific environment, along with a strong compensation package that includes salary, stock options, 401(k) and a comprehensive benefits package.

Interested applicants should apply through the NGM Biopharmaceuticals website: https://www.ngmbio.com/open-positions/

Note to Recruitment Agencies: Please do not forward any agency résumés. NGM Bio is not responsible for any fees related to résumés that are unsolicited.",3.6,"NGM Biopharmaceuticals, Inc.
3.6","South San Francisco, CA",-1,51 to 200 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
8,Marketing Analytics Consultant (Temp),$108K-$169K (Glassdoor est.),"Built for finance by finance, Sage Intacct is the native cloud solution for Accounting, Finance and Human Resource Management and we’re looking for a Marketing Data and Analytics expert to support us in spearheading market expansion. The Marketing Analytics Consultant (Temp) will be a critical member of the Marketing Operations team and will be focused on developing Marketing data & analytics solution to run our business. You will be responsible for defining strategy and executing the analytical roadmap to deliver insights to the team and support critical decisions. You will be reporting to the Director of Marketing Operations and partnering with teams across Business Analytics, Demand Generation, and Sales to drive opportunity creation and capture market share by leveraging your expertise Marketing data and analytics (DNA).

The Marketing Analytics Manager possesses technical expertise as well as a strong business acumen who’s passionate about cultivating a data-driven culture. You will be the strategic advisor to the team by delivering weekly insights, explaining the “Why’s” behind the numbers, and making recommendations.

What you will do
Define and execute the marketing reporting and analytics roadmap at Sage Intacct
Lead internal product management for Dashboard and Reports by driving distribution, utilization, and adoption
Develop dashboards and reports in Tableau and other reporting tools to provide visibility into Marketing performance and enable a global marketing team on optimization.
Gather, interpret and analyze business requirements and uses cases, and design reporting solutions that help us address the needs of our marketing organization
Guide decision-makers by telling a story with the data
Collaborate with Marketing Technology and Business Analytics to Integrate data from disparate systems and sources and develop the dataset and QA process to ensure a healthy data pipeline from lead and campaign to close/won deal
Support maintaining data integrity end-to-end, develop and deliver operational reports to provide insights into the health of the database
What you will need
Bachelor degree in a quantitative/technology field or working experience with similar rigor
5+ Years of experience in reporting and tracking Marketing and Sales performance at B2B Enterprise Software firms
2+ Years of experience with Tableau (or similar Data Visualization tool) and familiar with manipulating large data set from business data sources
Familiar with SQL and ETL with strong knowledge of relational database
Able to communicate effectively across a broad range of audience from business users and data gurus to Executives
Inquisitive and process-oriented with a passion for leveraging data to optimize campaign performance for opportunity creation",4.8,"Sage Intacct, Inc.
4.8","San Jose, CA",-1,501 to 1000 Employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
9,Senior Finance Data Analyst,$108K-$169K (Glassdoor est.),"Qualys is seeking a Senior Finance Data Analyst with a strong experience in data management and financial reporting and systems. Responsibilities include establishing and maintaining Master Data standards and items within the Qualys systems and monitoring and validating the integrity of data as well as supporting corrective actions related to variances to standard. He/she will also help maintain systems and manage information used for financial administration and key financial metrics and reporting and assist in setting up automated reporting and financial analysis.

Responsibilities include:
Implement, optimize, and maintain financial systems and augment it with a separate data warehouse as needed
Create, maintain, monitor, and analyze all master data in ERP & CRM and integrated solutions
Ensure and enhance data quality and train users to ensure continuity of results
Provide creative yet logical approaches to solving data problems
Perform various levels of data validation across multiple systems
Create and manage the data dictionary to support change management efforts
Draft and maintain policies, procedures, and other documentation to ensure uniform, accurate, and consistent data are present
Provide testing support for upgrades and releases, including integration testing from various sources to target systems
Assist in setting up hierarchies and maintain consistency across different systems
Assist with data and analysis requests, providing detailed backups and explanations as needed
Build and support complex planning and forecasting models using the Anaplan platform
Build Anaplan Visualizations
Set up and automate reporting and charting and analyze trends and patterns
Perform other ad hoc responsibilities as necessary
You are:
A strong team player with a positive, service-oriented attitude who drives process improvements to increase effectiveness of the team and minimize room for errors
Hands-on, detail-oriented, and organized; prior experience having gathered, structured, monitored, and validated data to ensure data integrity and detailed documentation; has developed a habit of checking the accuracy of data and analysis several times over before submitting for review
A self-starter and high-achiever with a focus on doing a great job
A superior problem solver, possessing the initiative to look into the details and interpret the impact of key business drivers
Excellent multi-tasker who has strong time and project management skills and understands the importance of planning in advance to meet deadlines that include multiple review points and iterations
Strong communicator, both written & verbal; reliable and responsive to email and phone communications
Highest level of integrity and good judgment with the ability to effectively deal with highly sensitive, confidential information
Qualifications
Bachelor’s degree in Computer Science or Accounting/Finance/Business or related field
Minimum of combined 4 years of hands on experience building Anaplan models and/or master data management in an ERP or CRM system
Experience querying data from a native source (ERP, CRM or database). Understanding of backend data and database structures
Experience partnering with FP&A and to deliver insightful information
Hands on experience with NetSuite, Salesforce, and Admin is a plus
High proficiency with Excel is a must, including ability to build automated Excel models from scratch (e.g., vlookup, sumif, iferror, etc.); VBA, SQL and ODBC knowledge preferred
Data organization and management skills. Technical expertise with data models, data import methodologies, database design development, and data mining; preferred experience with a BI tool",3.1,"Qualys, Inc.
3.1","Foster City, CA",-1,501 to 1000 Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
