,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Product Manager,$27K-$80K (Glassdoor est.),"E&E Co. is a dynamic and growing home furnishings company, seeking a Product Manager to join our production division.
E&E Co. offers competitive compensation, benefits and opportunities for growth within the e-Commerce & Textiles industries. If you are excited to take on new projects and passionate position, apply today!
Summary*
The Product Manager works as a team in executing development, sourcing, and procurement of product management. In additional, the Product Manager is responsible for managing Regional/National Accounts and ensures that products are introduced to the sales team/retail accounts quickly and accurately in order to maximize sales, profits, and speed to market. Key focus areas will be product development, marketing, profitability, product/raw management from all levels, and procurement, price negotiations, supply chain management and supplier relationship.
Essential Responsibilities*
Follow up order & sampling details with our overseas suppliers & vendors.
Communicate with sales, merchandiser, overseas office for product development and sourcing product, price quotations and price ticket details.
Work with sales team to answer all questions of the product.
Monitor delivery dates, shipping status, & inventory level.
Update price file & sales summary reports for all on-going production.
Daily follow up of all PO's (progress, problems, approval, delivery issues).
Manage the sourcing process for new product development.
Manage vendors in preparation for factory audits.
Run sales report and analyze the sale by product category, customer, and brand.
Follow up on all sampling & costing.
Update Sample specs & changes from the Designer.
Work with photo studio to get photo approval.
Ensure quality control on all samples.
Job Experience/Requirements*
Must speak bi-lingual (English and Mandarin)
Associate or Bachelor’s degree desirable
3-5 years’ work related experience in Production, retail or wholesale background in home fashion product categories
Must be experienced in Microsoft Word, Excel, PowerPoint
Strong written & verbal skills in both Mandarin & English required for the job
Accuracy with detailed follow up
Overseas manufacturing background with textile or apparel products required
Self-Starter, able to work independently & in teams
Career oriented, willing to learn
Focused & strives for accuracy
High and strong responsible work attitude and strong in solving problems
Detailed oriented, ability to meet deadlines, adaptable to a rapid changing environment
Travel*
Travel is expected for this position
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
overseas manufacturing: 1 year (Preferred)
home fashion product categories: 3 years (Required)
Language:
Mandarin Chinese (Required)
Work Remotely:
Temporarily due to COVID-19",3.0,"E&E Co., Ltd.
3.0","Fremont, CA",-1,201 to 500 Employees,1994,Company - Private,Home Furniture & Housewares Stores,Retail,$100 to $500 million (USD),-1
1,Product Manager - Growth,$27K-$80K (Glassdoor est.),"The Role

Akili is searching for a Product Manager of Growth to develop, implement and continuously evolve an engagement strategy that increases customer retention, leads to better business outcomes, and creates an exceptional customer experience. You will first develop an engagement strategy to guide our efforts to engage and retain our customers, and then help implement initiatives across our customer experience to drive these key business outcomes.

Responsibilities
Increase the overall number of engaged caregivers and patients
Identify areas of opportunity to invest in product, marketing and services
Define, align stakeholders and monitor experiments to improve engagement/retention and effectively communicate impact of experiments to the broader organization, e.g. A/B testing of product features, new services, marketing communications
Develop an engagement playbook -- a living document that describes our 'plays' to engage and retain our customers
Identify leading KPIs that effectively measure business outcomes we want to achieve
Qualifications
Experience working with both qualitative (customer research) and quantitative (product data) research methodologies
Experience with getting to product/market fit in the healthcare, mobile and/or gaming markets
Analytical Mindset - The ability to draw insights from both qualitative and quantitative data sets, and turn those insights into recommendations
Experience working with a broad group of stakeholders (i.e. Data scientists, business analysts, customer support representatives, executives, etc.)
Comfortable operating in ambiguity - Ideally working with new product development in a startup-type environment
Experience communicating across different levels of the organization and ability to shift from the 30,000 foot strategic view to getting into the weeds
Ability to build relationships and credibility across different levels of the organization
About Akili

At Akili Interactive, our mission is to ignite new hope for those living with cognitive impairment. We're bringing together world-class neuroscience with the latest technology and video game entertainment to create a new class of digital medicines, delivered through captivating video game experiences. We are out to prove that effective medicine for serious illnesses can also be fun and engaging.

Our flagship product, EndeavorRx, is the first ever FDA-cleared prescription treatment delivered through a video game to treat children living with ADHD. This is only the beginning, as we continue to boldly challenge the status quo of today's medicine.

Diversity and Inclusion

Diversity and inclusion are incredibly important to all of us. We are committed to hearing all voices. Akili Interactive provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.",4.8,"Akili Interactive Labs, Inc.
4.8","San Francisco, CA",-1,51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
2,Program Manager,$27K-$80K (Glassdoor est.),"Join our new program!

We are seeking a full-time Program Manager to join our multidisciplinary team at our adult treatment center Monte Nido East Bay, located in Lafayette, CA. Monte Nido East Bay will provide residential treatment programming for all genders.

Monte Nido & Affiliates has been providing proven treatment for eating disorders for over two decades. Our treatment approach focuses on the restoration of physiological and nutritional balance, the implementation of healthy eating and exercise routines, the elimination of destructive behaviors, and the development of motivation and treatment engagement. This program offers a model of treatment that blends the personalized and medically sophisticated care for which we are known, with the latest research and strategies for those suffering from eating disorders. Our treatment setting is intimate with a high staff to client ratio, and an emphasis on individual therapy and highly individualized treatment.

Job responsibilities may vary but will primarily include the following:

Completing client intakes and admissions

Preparing and maintaining client charts

Preparing admission and tour packets

Conducting tours of the facility

Assisting with insurance and billing issues

Providing group or individual counseling and supporting/crisis counseling as needed

Supervising of client meals and snacks

Supervising client walks, activities and off-site outings in the community

Assistance in monitoring program compliance with governing agencies

Coordinating appointments with physicians and labs

Coordinating client transportation

Providing general office/receptionist and administrative assistance and support

Occasionally driving off-site; general office duties; and other tasks as assigned.

Qualifications:

Bachelor's Degree is preferred

2-5 years working in an administration function in a healthcare setting, preferably in behavioral health

Must be able to work in an environment in which there is minimal supervision and where flexibility is required

We offer an excellent benefits package that includes paid time off, 401(k) retirement plan, company-paid life and disability insurance, great medical and dental plan choices, vision, and many other insurance options to meet you own and your family's needs.

https://www.montenido.com/locations/east-bay-ca/",2.7,"Monte Nido & Affiliates
2.7","Lafayette, CA",-1,501 to 1000 Employees,1996,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
3,Software Product Manager,$27K-$80K (Glassdoor est.),"Software Product Manager - San Francisco *
Job description: *
Come join a highly skilled team in delivering an innovative M2M / IoT SaaS device and cloud solution for our global partners and wireless carriers in the Americas, Japan, Australia, and EMEA. Our commercially proven M2M / IoT Software Platform and Smart Energy Applications are commercially available from our strategic partners and you will play a large role in their success and rapid growth!

As Software Product Manager, you will be responsible for product definition (MRD/PRD), driving the execution of product development across multiple departments, product launch, documentation and marketing/sales collateral, and post-launch support. You will also be responsible for tracking standards tasks, partner management, competitive analysis, and supporting business development and sales activities. This position requires previous experience with advanced communications network technologies, Internet protocols, and network management standards and technologies. Experience in developing technical and customer collateral, and in driving the strategy and content for product launches, is a strong plus. The successful candidate will have exceptional verbal and written communication skills, and will be able to capture, document, and prioritize both technical and business requirements in a fast-paced environment.
Primary Responsibilities: *
Discover, filter, and document customer requirements and competitive product offerings; own and drive the development of MRDs/PRDs
Work closely with Engineering to define, prioritize, and implement product release features, and be responsible for the software product release-cycle
Generate content for outbound marketing material (product brochures, whitepapers, etc.)
Participate in the preparation, and execution of the Company’s go-to-market plans, including channel marketing and sales training
Resolve escalated product, customer satisfaction, and cross-organization process issues
Qualifications: *
Minimum 4 – 8 years experience in product management/marketing role in wireless industry, understand all aspects of product life-cycle from product concept, definition, and specification to implementation, release, production, revision, maintenance and support
Software development experience prior to product management strongly preferred
Excellent communication skills (written and verbal), and ability to work across departments and with different levels of personnel from engineers and managers to company executives
Very strong technically, able to track and contribute to standards development
Experience in working with customers and managing partners
Prior experience in wireless platform/equipment/system development strongly preferred
Requires a BSEE/CS combined with 5+ years related experience, or an MSEE/CS combined with 3+ years related experience
Compensation: * Competitive salary, stock options, and benefits package
Job Type: Full-time

Pay: $126,000.00 - $151,000.00 per year

Experience:
Product Lifecycle Management: 4 years (Required)
Network Protocols: 4 years (Preferred)
Customer Relationship Management: 4 years (Preferred)
Software Development Life Cycle: 4 years (Preferred)
Wireless: 4 years (Preferred)
Education:
Bachelor's (Required)
Location:
San Francisco, CA 94133 (Required)
Work authorization:
United States (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Schedule:
Monday to Friday
Company's website:
https://aetheros.com
Work Remotely:
Temporarily due to COVID-19",-1,Aetheros,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
4,Director of Product,$27K-$80K (Glassdoor est.),"The *Director of Product *must have ability to:
Direct the end-to-end life cycle for employer’s software and financial technology products;
Define product strategy and work with engineering, user experience design, quality assurance and various other internal teams to build customer specific technical products;
Manage cross-functional teams including operations, sales, and finance towards achieving company’s business goals;
Determine customer needs and ensure correct specifications for technical products;
Understand market and competitive landscape to assess product opportunities and build business plans;
Design and track metrics at the product and company level to oversee overall direction and business strategy;
Manage and mentor product managers;
Work directly with CEO and CTO on long-term company vision.
Required: *
4+ years of product management experience building software products;
Experience in e-commerce, payments, or financial services;
Strong analytical skills;
Ability to leverage technology and programming tools to build and track detailed statistical, financial and business models;
Proficiency Microsoft Office suite and Visual Basic;
Strong project management and communication skills with ability to influence across different functional groups;
Master's degree in computer science or related engineering discipline; MBA or other advanced degree preferred.
Job Type: Full-time

Pay: $113,700.00 - $200,000.00 per year

Benefits:
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Experience:
Product Management: 4 years (Required)
Education:
Master's (Preferred)
Location:
Emeryville, CA 94608 (Required)
Work Location:
One location
Schedule:
Monday to Friday
Company's website:
plateiq.com
Company's Facebook page:
https://www.facebook.com/plateiq/
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,"Qubiqle, Inc dba Plate IQ","Emeryville, CA",-1,-1,-1,-1,-1,-1,-1,-1
5,Senior Quality and Reliability Manager,$27K-$80K (Glassdoor est.),"Qualifications: *
Knowledge in Flash memory quality, reliability, and JEDEC standards

Strong Protocol knowledge of SATA, SAS, and PCIe interfaces

Hands on experience with SSD troubleshooting and ability to resolve component and system level problems.

Logic knowledge and or experience working in Linux/FreeBSD writing test scripts.

Strong analog/digital knowledge and the ability to troubleshoot and resolve component and system level problems.

Experience with server/storage platform in board design, thermal, mechanical, signal integrity are plus.

Experience with digital/analog debug tools (Asset HSIO, logic analyzers, Oscilloscopes).

10+ years experience working in SSD or NAND Flash memory

Master or Bachelor’s degree or equivalent experience in Electrical Engineering, Computer Science, Physics, or related field preferred

Excellent English verbal, written communication and presentation skills
Job Responsibility: *
Serve as Focal Point for customer quality issues

Technical lead internal team in failure analysis, root cause determination, and define corrective actions using 8D methodology

Generate 8D reports to customer and internal teams

Maintain and manage customer RMA data base

Creating and maintaining a failure analysis workflow with vendors and internal team

Drive quality testing to assure early detection of potential problems in existing and new product

Team player with good interpersonal communication and problem-solving skills, able to interact with customer effectively

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday",-1,"Greenliant Systems, Inc.","Santa Clara, CA",-1,51 to 200 Employees,2010,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$10 to $25 million (USD),-1
6,Program Manager (AEA,$27K-$80K (Glassdoor est.),"Overview: Association for Energy Affordability (AEA) is a rapidly growing nonprofit energy services and training organization dedicated to achieving energy efficiency in buildings in order to foster and maintain affordable and healthy housing and communities. Energy consulting services are completed through AEA’s participation in a variety of federal, state, and local energy efficiency initiatives. AEA is a national organization, with over 25 years of industry experience and has been operating a West Coast office for over seven years.

For more information about AEA, please go to: http://www.aea.us.org.

Position Summary: AEA West is seeking an Energy Efficiency Program Manager to join our tight-knit, talented team of“Energy Geeks”. The candidate must be passionate about energy efficiency and green building, highly organized, and have strength in data analytics. The Program Manager will oversee the day-today management and process flow of programs directed at providing energy efficiency services to multifamily buildings. The Program Manager will also be expected to perform contract management responsibilities associated with these programs, interfacing with both the client and any subcontractors. He or she will oversee the work of the Energy Analysts, who conduct energy audits of multifamily buildings, provide engineering analysis at the project level, design and manage retrofit projects, perform green building assessments, and conduct technology and market assessments. The Program Manager engages in program design, project scheduling, data analysis, report production, and database management as needed to complete to deliver high impact energy efficiency programs. He or she is expected to be a self-starter, an independent problem solver, and a strong team-player.

Responsibilities:

The Program Manager may be responsible for:
Managing energy efficiency program implementation
Assisting in the design of energy efficiency programs
Overseeing technical staff conducting energy audits and in-field energy assessments, on-site diagnostics, field data collection and analysis
Managing and analyzing program data such as program pipeline, measure savings, project savings, regional project distribution, etc.
Contract management, create budgets, targets and work plans
Outreach and intake to program participants 2
Database management
These job responsibilities may be revised over time to ensure the functional responsiveness of the Energy Analyst to AEA and Federal and California State program requirements.
Minimum Qualifications:
Bachelor’s Degree in engineering, architecture, environmental science, construction management or other sustainability related focus, with a demonstrated interest in energy conservation and building science preferred
1-2 years of prior experience in related role
Knowledge of building systems including lighting technologies, building envelope, mechanical systems and combustion science
Basic knowledge and experience in energy efficiency and green building principles  Strong oral and written communication skills
Excellent communication, organization, presentation and analytical skills
Ability to bring together various resources to work together collaboratively
Advanced-level knowledge of MS Word, Excel and PowerPoint
Primary work location is in Emeryville, CA; must have the ability to travel to Northern and Southern California
Additional Qualifications Desired:
Knowledge and understanding of Title 24 and other building codes and standards
Familiarity with local, state and federal incentive and rebate programs
Ability to perform cost savings analyses and fuel data analyses
Sound technical writing skills and experience
Proficiency in Salesforce
EEO Non-Discrimination and ADA Reasonable Accommodation Statement: Applicants are considered for all positions without regard to race, color, creed, religion, age, national origin, alienage or citizenship status, gender, sexual orientation, gender identity, marital or partnership status, disability, military status, veteran status, or predisposing genetic characteristics. AEA does not discriminate on the basis of physical or mental disability where the essential functions of the job can be reasonably accommodated. Determinations on requests for reasonable accommodation will be made on a case-by-case basis.
For more information on the physical requirements of this position and/or if you need reasonable accommodation for any part of the application and hiring process, please notify the agency at 212-279-3902 Ext-8028

~ Minorities and women are encouraged to apply ~

Job Type: Full-time

Work Location:
Multiple locations",2.8,"Association For Energy Affordability Inc.
2.8","Emeryville, CA",-1,51 to 200 Employees,-1,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1
7,"Program Manager, Clinical and Regulatory",$27K-$80K (Glassdoor est.),"Program Manager, Clinical and Regulatory*
E-Scape Bio – South San Francisco, CA*
ESCAPE BIO, Inc.*, a privately held, clinical stage biopharmaceutical company, is developing precisely targeted, novel therapies for genetically defined patients with neurodegeneration. ESCAPE was founded to leverage the rapid acquisition of emerging knowledge about novel neurobiology and genomics. We have a diverse pipeline of novel and best-in-class small molecule therapeutics in major areas of unmet need. We are building the leading neurodegenerative disease company focused on neurodegenerative orphan populations. ESCAPE has a strong investor base and management team and has a pipeline of early stage clinical development programs. We seek an experienced Program Manager, Clinical and Regulatory.
Position Overview*
The Clinical/Regulatory Program Manager is responsible for the planning, tracking, measuring, and reporting on the status of a variety of projects throughout the entire project development life cycle within the ESCAPE Clinical and Regulatory Affairs departments.
Responsibilities: *
Integrates multiple cross-functional activities that are within the Clinical and Regulatory functional teams.
Identifies and tracks both cross-project and cross-functional issues, as well as scope, timeline, and budget issues within the Clinical and Regulatory functional teams.
Works proactively with the Clinical and Regulatory project teams to achieve timely resolution of issues to meet approved program objectives and timelines.
Drives the team to “out-of-box” thinking and creative issue resolution.
Leads and develops the cross-functional plans together including realistic but aggressive timelines, budget and resources planning, risk assessment and contingency planning within the Clinical and Regulatory functional teams.
Creates and maintains program management tools such as MS Project timelines, metrics, and dashboards within the Clinical and Regulatory functional teams.
Integrates program related communications and dashboard to other functional areas outside of Clinical and Regulatory and management as appropriate.
Partners with other Program Managers (e.g. CMC, Non-clinical, etc.) to provide Clinical and Regulatory inputs into comprehensive fully integrated program plans.
Support the Clinical and Regulatory teams in establishing and managing external collaborations (e.g. Advisory Boards, KOL Meetings, etc.).
Manage the Investigator Initiated Trials (IITs) evaluation and selection process.
Oversees and provides metrics for ongoing IITs.
Facilitates the evaluation and selection of electronic systems (e.g. eTMF, eEDC, etc.).
Leads and manages of the implementation of electronic systems.
May be assigned special projects or workstreams for Clinical and Regulatory departments.
Able to handle multiple projects/programs at one time.
Essential Skills and Traits: *
A deep understanding and appreciation for the nuances associated with neuroscience and ideally rare disease clinical trials which are different to large indication/other indication development
Experience working in small companies, or an appreciation of and desire to work in a small company environment
A clear understanding of the components of the clinical drug development pathway from IND preparations, first in human, clinical proof of concept, registration directed pivotal trials through to NDA filing and the necessary interdependency of these components
Participation in large multi-center and/or global trials
Strong Clinical Operations or Project Management experience
Working understanding of US and global regulations and guidelines (FDA, EMA, ICH)
A mature and self-assured team player who will work well with all other functional areas and can effectively interact with individuals at all levels of the organization and develop a cohesive relationship among the team
Demonstrable leadership and interpersonal skills
Ability to work under pressure and timeline constraints.
Ability to manage multiple competing priorities, being able to rapidly gather, assimilate and disseminate information on critical project components and milestones, and to translate to internal or external staff assigned to projects
Detail focus with ability to manage technical/scientific aspects as well as operational components of logistics, timing and quality
Qualifications: *
BS/BA in the life sciences or in a related field; an advanced degree (eg., MS, PharmD, or PhD) is advantageous
Permitted to work in the United States
Strong organizational, written and verbal communication skills
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Parental Leave
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday
Additional Compensation:
Bonuses
Company's website:
www.escapebio.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",-1,ESCAPE Bio,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
8,"Program Manager, Clinical and Regulatory",$27K-$80K (Glassdoor est.),"Program Manager, Clinical and Regulatory*
E-Scape Bio – South San Francisco, CA*
ESCAPE BIO, Inc.*, a privately held, clinical stage biopharmaceutical company, is developing precisely targeted, novel therapies for genetically defined patients with neurodegeneration. ESCAPE was founded to leverage the rapid acquisition of emerging knowledge about novel neurobiology and genomics. We have a diverse pipeline of novel and best-in-class small molecule therapeutics in major areas of unmet need. We are building the leading neurodegenerative disease company focused on neurodegenerative orphan populations. ESCAPE has a strong investor base and management team and has a pipeline of early stage clinical development programs. We seek an experienced Program Manager, Clinical and Regulatory.
Position Overview*
The Clinical/Regulatory Program Manager is responsible for the planning, tracking, measuring, and reporting on the status of a variety of projects throughout the entire project development life cycle within the ESCAPE Clinical and Regulatory Affairs departments.
Responsibilities: *
Integrates multiple cross-functional activities that are within the Clinical and Regulatory functional teams.
Identifies and tracks both cross-project and cross-functional issues, as well as scope, timeline, and budget issues within the Clinical and Regulatory functional teams.
Works proactively with the Clinical and Regulatory project teams to achieve timely resolution of issues to meet approved program objectives and timelines.
Drives the team to “out-of-box” thinking and creative issue resolution.
Leads and develops the cross-functional plans together including realistic but aggressive timelines, budget and resources planning, risk assessment and contingency planning within the Clinical and Regulatory functional teams.
Creates and maintains program management tools such as MS Project timelines, metrics, and dashboards within the Clinical and Regulatory functional teams.
Integrates program related communications and dashboard to other functional areas outside of Clinical and Regulatory and management as appropriate.
Partners with other Program Managers (e.g. CMC, Non-clinical, etc.) to provide Clinical and Regulatory inputs into comprehensive fully integrated program plans.
Support the Clinical and Regulatory teams in establishing and managing external collaborations (e.g. Advisory Boards, KOL Meetings, etc.).
Manage the Investigator Initiated Trials (IITs) evaluation and selection process.
Oversees and provides metrics for ongoing IITs.
Facilitates the evaluation and selection of electronic systems (e.g. eTMF, eEDC, etc.).
Leads and manages of the implementation of electronic systems.
May be assigned special projects or workstreams for Clinical and Regulatory departments.
Able to handle multiple projects/programs at one time.
Essential Skills and Traits: *
A deep understanding and appreciation for the nuances associated with neuroscience and ideally rare disease clinical trials which are different to large indication/other indication development
Experience working in small companies, or an appreciation of and desire to work in a small company environment
A clear understanding of the components of the clinical drug development pathway from IND preparations, first in human, clinical proof of concept, registration directed pivotal trials through to NDA filing and the necessary interdependency of these components
Participation in large multi-center and/or global trials
Strong Clinical Operations or Project Management experience
Working understanding of US and global regulations and guidelines (FDA, EMA, ICH)
A mature and self-assured team player who will work well with all other functional areas and can effectively interact with individuals at all levels of the organization and develop a cohesive relationship among the team
Demonstrable leadership and interpersonal skills
Ability to work under pressure and timeline constraints.
Ability to manage multiple competing priorities, being able to rapidly gather, assimilate and disseminate information on critical project components and milestones, and to translate to internal or external staff assigned to projects
Detail focus with ability to manage technical/scientific aspects as well as operational components of logistics, timing and quality
Qualifications: *
BS/BA in the life sciences or in a related field; an advanced degree (eg., MS, PharmD, or PhD) is advantageous
Permitted to work in the United States
Strong organizational, written and verbal communication skills
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Parental Leave
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday
Additional Compensation:
Bonuses
Company's website:
www.escapebio.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",-1,ESCAPE Bio,"South San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
9,Product Manager,$27K-$80K (Glassdoor est.),"ASI Corp is hiring for a Product Manager for our Fremont, California office. A Product Manager will be a key contributor to growing our business and will work very closely with our vendors, sales and product management team.
Salary: *
ASI offers a very competitive salary depending on experience.
Benefits: *
ASI Corpdemonstrates our commitment to the health of our employees by offering all full-time employees a full complement of medical, dental and vision coverage as well as competitive 401k.
Responsibilities: *
· Responsible for P&L and inventory management

· Defines product strategies necessary to support growth plans

· Analyzes sales data to review, plan & assist with inventory management

· Provides sales support and proactively works with sales team to find new opportunities

· Manages the vendor relationships at a couple of levels within the vendor

· Works closely with and for sales team on sales strategy, maintaining key customer relationship

· Co-ordinates training/meetings with vendors and sales team

· Works with vendor on strategy and program to execute the shared goals
Requirements: *
· Bachelor’s Degree

· Minimum 2 years product management related experience in US distribution, retail, or Ecommerce

· Experience and knowledge in Consumer Electronics and computer products is highly desired

· Strong drive & initiative and ability to work independently under tight timelines and pressures

· Resourcefulness and flexibility

· Sound judgment and ability of working independently in decision making

· Excellent communication and presentation skills

· Bilingual in Proficient English and Chinese is highly recommended
About Us: *
ASI CORP is one of the largest PC Distributors in North America. ASI was founded in 1987 with the goal of assisting small, mid-tier and growing companies with a range of value-add services based on competencies unique to the system integrator and VAR channel. Today, the company maintains 13 locations throughout the US and Canada with revenues of more than $1.3 billion and represents over 20,000 products from the industry's most notable manufacturers.
ASI Corp is an equal opportunity employer (EOE).*
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Employee Discount
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Referral Program
Retirement Plan
Vision Insurance
Schedule:
8 Hour Shift
Monday to Friday
Supplemental Pay:
Bonus Pay
Experience:
Product Management in US distribution, retail, or e-commerce: 2 years (Required)
Consumer Electronics and Computer Products: 2 years (Preferred)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Company's website:
www.asipartner.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",3.2,"ASI Computer Technologies, Inc.
3.2","Fremont, CA",-1,501 to 1000 Employees,1987,Company - Private,Wholesale,Business Services,$2 to $5 billion (USD),-1
