,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Project Manager - Heavy Civil Construction,$39K-$102K (Glassdoor est.),"Myers & Sons Construction, is a Heavy Civil Construction Company. Myers and Sons specializes in, Water/Wastewater Plant Construction and Heavy Highway Construction, including Alternative Delivery Projects, such Design Build, Progressive Design Build, CMGC and CMAR throughout California, Colorado and the United States.

Myers and Sons Construction is currently seeking a Project Manager to work on a Caltrans Bridge Rehabilitation Project in the greater Sacramento area. The project includes the retrofit the existing Mokelumne River Bridges by replacing the existing multicolumn bents with new outrigger bents and constructing new bent caps which will support the existing bridge decks. Each of the two bridges is supported by 20 existing bents (40 bents total). Each new outrigger bent will be supported by two new pile shafts comprised of 4-foot (48-inch) diameter cast in steel shell (CISS) concrete piles (a total of 40 outrigger bents supported by a total of 80 new pile shafts). Once the new outrigger bent systems have been constructed, the columns of the existing bents will be removed.

This person will work closely with company executives, project owner, as well as Myers and Sons’ internal staff to complete projects in a timely and effective manner. This person must be self-motivated and good with communication.

At Myers and Sons Construction every day is different and as a Project Manager you be exposed every facet of construction, allowing you to grow your knowledge base and advance your career at a rapid pace.

Required Experience: Must have experience working on a Heavy Civil Project as a Project Manager, or Project Engineer.

Preferred Background: A Civil Engineering, Mechanical Engineer or Construction Management degree. A licensed Professional Engineer or Engineer in Training.

Myers and Sons is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, gender identity, sexual orientation or protected veteran status.

To Apply Go To: https://careers-myers.icims.com/jobs/search?ss=1&hashed=-435679930

For more information about our company, please visit www.myers-sons.com

Job Type: Full-time

Work authorization:
United States (Required)
Additional Compensation:
Bonuses
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Relocation assistance
Professional development assistance
Other
Schedule:
Monday to Friday
Other
Company's website:
www.myers-sons.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",3.5,"Myers and Sons Construction, LP
3.5","Sacramento, CA",-1,201 to 500 Employees,-1,Company - Public,Construction,"Construction, Repair & Maintenance",Less than $1 million (USD),-1
1,Project Manager,$39K-$102K (Glassdoor est.),"Project Manager *
Independent Construction Company is seeking qualified applicants for the position of Project Manager. The ideal candidate is someone who is organized and possesses strong time management skills. This position is responsible for project management for both private and public-sector grading and paving projects including, safety, contract administration, budget compliance, field operations oversight, and maintaining healthy Owner/Agency relations.
Project Management Responsibilities: *
• Management of Agency/Owner contract documents, changes, submittals, etc.
• Management of subcontractor scope and contract changes.
• Management of construction materials and delivery methods.
• Management of costs and forecasting project “costs to complete.”
• Seek out alternative solutions and construction methods.
• Communicate budget information to foremen at pre-construction meetings to ensure understanding of project scope and critical means and methods of construction for budget compliance.
• Supervision of field operations.
• Maintain healthy business relationships to increase bid opportunities in the regional market.
• Ability to travel to various locations as projects warrant.
Required Knowledge, Skills and Strengths: *
• Knowledge of construction grading and paving practices including production rates, contractual documents, plans, specifications and soils reports, etc.
• Ability to work within and comply with proposal/bidding time constraints/deadlines, individually and in a team environment.
• Proficient with Microsoft Word and Excel.
• Ability to produce and maintain a project schedule using Primavera, SureTrak, Microsoft Scheduler or other software.
• Previous experience with Project Management Software is a plus.
• Solid leadership, supervisory, communication, decision making and organizational skills.
• Thrives in fast paced, fun, competitive work environment.
• Attention to detail while productively meeting goals is a must.
Education/Work Experience: *
• Bachelor’s Degree in Construction Management, Civil Engineering, or demonstrated project management work history and related experience.
• Minimum 2-3 years construction field support/management experience.
• Work experience in a busy office setting.
Additional Information: *
• This is a full-time benefited position.
• Company conducts post-offer, pre-employment drug screening and Motor Vehicle Report.
• Valid & Current CA Driver’s License & Clean Motor Vehicle Report o 21 years of age as required by insurance to drive
• Work assignments involve a high degree of concentration.
• Physical requirements include the following:
o Ability to lift and carry 10-50 pounds occasionally.
o Ability to sit for long periods of time, stoop, kneel, crouch, reach, finger, grasp, write, and perform repetitive motions.
o Exerts up to 50 pounds of force occasionally and/or a negligible amount of force frequently to lift, carry, push, pull, or otherwise move objects with the human body.
o Hearing and speaking ability sufficient to carry on a conversation with another individual (or groups of individuals) in person and over the telephone.
o Visual ability sufficient to read and produce printed material and information displayed on a computer screen.
o Ability to sit, stand, drive, walk for 2-10 hrs per day

Compensation: DOE
Job Type: Full-time

Company provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to Race, Religious Creed, Color, National Origin, Ancestry, Physical or Mental Disability, Medical Condition, Genetic Information, Marital Status, Sex, Gender, Gender Identity, Gender Expression, Sexual Orientation, Military or Veteran status.

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Day shift
Experience:
construction: 2 years (Required)
Education:
Bachelor's (Preferred)
License:
Driver's License (Required)
Work authorization:
United States (Required)",4.0,"Independence Construction Co
4.0","Concord, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1
2,Project Manager,$39K-$102K (Glassdoor est.),"Quantum Leap Healthcare Collaborative*
3450 California Street, San Francisco CA 94118*
(855) 866-0505*
quantumleaphealth.org*
Job Description*
Project Manager*
2020-02-05*
POSITION: Project Manager REPORTS TO: Leader, Clinical Trials
The Project Manager developments and ensures compliance with clinical study protocols that involve human subjects. They will oversee and resolves operational aspects of clinical studies or trials in conjunction with project team members and in accordance with standard operating procedures and good clinical practice and other regulations. The Project Manager assist with financial matters associated with clinical trials and vendor selection. The Project Manager is a technical leader with a high degree of knowledge in the overall field and recognized expertise in specific areas; problem-solving frequently requires analysis of unique issues / problems without precedent and / or structure. They may manage programs that include formulating strategies and administering policies, processes, and resources; functions with a high degree of autonomy. The Project Manager applies extensive knowledge of clinical research protocols and processes to design research projects of large scope and high degrees of complexity.

The I-SPY Consortium is a series of large scale, platform clinical trials projects sponsored and operated by Quantum Leap Healthcare Collaborative with goal to drive innovation in breast cancer treatment and drug approval process. The program is currently comprised of four major initiatives, a nationwide phase 1 program, two networks (one for phase 2 drug screening trials called I-SPY 2 TRIAL and one for phase 3 confirmatory trials), and a newly formed I-SPY 2.2 Program. The Project manager is involved with the management and project development of the I-SPY 2 TRIAL and associated projects. This position works with relevant sponsor organizations and relevant pharmaceutical companies, to develop a regimen and associated protocol for new drugs in the trial, ensure the regimen is compliant with internal I-SPY 2 policies as well as state and federal regulatory compliance under good clinical practice, and working to operationalize the new drug arms at all sites. In addition, the Project Manager will provide oversight and assist with development of other sub-studies under the I-SPY 2 umbrella including working with relevant groups to assess feasibility and development of project and associated operationalizing of projects.
GENERAL DUTIES AND ESSENTIAL JOB FUNCTIONS: *
I-SPY 2 Trial Project Manager is
Responsible for working with senior I-SPY program staff at UCSF and the Site Operations Chair to provide oversight and participating 25 cancer centers across the US for delivery of key trial goals and objectives
Responsible for executing and monitoring projects plans and timelines to ensure deliverables are met including but not limited to tracking and analyzing accrual trends and data completeness at participating sites, compiling reports, and making recommendations the I-SPY 2 Executive Committee
Gather, analyze, and compile recommendations on new potential sites
Monitors compliance with all policies and processes. Adheres to standards, external guidelines, university policies and regulations.
Serves as the main liaison between the clinical trials’ academic leaders. Proposes solutions to difficulties arising from multidisciplinary research, implements structural changes to maximize time efficiency within the constraints of limited resources.
Development of new agent concepts and adaptation into trial
Development of Standard Operating Procedures for trial work
Functions as a lead in the development of new processes and protocols with project team for highly complex clinical trials. Oversees and manages protocol amendments.
Conducts large project feasibility assessments. Analyzes risks, strategies and solutions. Develops project timelines and key milestones for assigned projects
Responsible for maintaining and updating the I-SPY 2 protocol and Manual of Operations including assessing the feasibility of the proposed updates
Additional ad hoc I-SPY related duties as assigned
Skills/Competencies *
10 or more years of experience and advanced knowledge of clinical research practices and philosophy, and ability to apply knowledge and skills to recommend improvements in methodology. Advanced knowledge of regulatory requirements.
Advanced ability to effectively lead one or more projects with competing to meet the demands of a fast-paced and dynamic work environment. Adaptable to quickly changing priorities.
In depth critical thinking skills to evaluate issues and identify a potential solution. Creatively addresses complex or new problems.
Advanced communication skills; including verbal and written, active listening, critical thinking, persuasiveness, advising and counseling skills. Clear and concise communicator.
Advanced interpersonal skills, including but not limited to: problem-solving, teamwork development, leadership with other team members. Works well with others who do not report to them in order to achieve common goals.
Proven ability to perform all commonly applicable functions in word processing and spreadsheet software. Advanced knowledge of clinical information and documentation application programs. Proven ability utilizing clinical trial management systems.
In depth ability to work collaboratively with other cross-functional teams. In depth ability to interface, collaborate and influence / persuade other members of an extended study team.
Qualifications*
Bachelor's degree in related science area and / or equivalent experience / training (10+ relevant years of experience).
Advanced degree in related area (MD, PhD, MPH, MS, etc.) preferred
Job Type: Full-time

Experience:
clinical research: 10 years (Required)
Advanced knowledge of regulatory requirements: 10 years (Required)
Education:
Bachelor's (Required)
Location:
San Francisco, CA 94118 (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Schedule:
Monday to Friday",1.7,"Quantum Leap Healthcare Collaborative
1.7","San Francisco, CA",-1,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Less than $1 million (USD),-1
3,Project Administrator,$39K-$102K (Glassdoor est.),"JOB SUMMARY: *
The person in this position is employed to assist the on and off site/on site project construction and management/administrative team with the coordination of activity and administration of any single and/or multiple construction projects from development through construction close out and ongoing servicing.
ESSENTIAL FUNCTIONS (including but not limited to): *
 Strong written and oral communication skills
 Computer literacy with Microsoft Office, Microsoft Project, Outlook o Procore and Smartsheet preferred
 A strong working knowledge of construction methods and practices
 Familiarity with Cal-OSHA
 The ability to interpret construction documents (plans, specifications, contracts)
 Adhere to and enforce all company policies and Cal-OSHA safety standards
 Maintain a neat and professional appearance and demeanor
 Possess a valid California Driver’s License
 Able to walk the construction sites to conduct daily inspections, observations, quality, control assessments, etc.
Project Administration; *
 Assist the project manager and/or build team with project preparation and start up
 Assist the project manager and/or build team in the preparation of subcontracts
 Assist the project manager and/or build team with project administrative duties such as subcontractor management, schedule tracking, bidding, budget tracking, AP/AR activities specific to the project, preparation of change orders and execution of same, prepare and distribute project progress reports, prepare and distribute project meeting agendas/directives/minutes, etc…
 Assist the project manager and/or build team in assembling and preparing samples and distribute submittal packages.
 Assist the project manager in overseeing project team on a daily basis for build out
 Assist the project manager and/or build team assemble deliverables for project close out (as builds, permit files, compliance letters/certifications, warranty and maintenance binder/program, etc…)
Project Estimating;*
 Assist the project manager and/or build team review project documents for accuracy, completeness, and familiarity
 Assist the project manager and/or build team prepare / distribute / track RFP’s
 Assist the project manager and/or build team perform in house take off’s
 Assist the project manager and/or build team create and distribute RFI’S as needed
 Assist the project manager and/or build team qualify subcontractor and/or vendors proposals to ensure accuracy and completeness
 Assist the project manager and/or build team in the preparation of project proposals (budget spreadsheets, scope qualifications, schedule, project specific documents for presentation, etc.)
NON-ESSENTIAL FUNCTIONS: *
 Copies, errands, ordering as needed
REQUIRED SKILLS: *
 Must be able to read with comprehension and write legibly in English
 Must understand intermediate math functions including Algebraic and Geometric equations as would be learned at a High School level
 Must be able to evaluate quotes against a control budget
 Must be able to interpret a variety of technical instructions as they relate to the construction process
 Must be able to draw valid conclusions from presented facts
 Must be able to communicate clearly
 Outstanding organization skills
 Maintain confidentiality
EDUCATION, EXPERIENCE, AND CERTIFICATION: *
 5-10 years’ experience or equivalent preferred
 Previous experience preferred
JOB CONDITIONS: *
 Assist the project management and/or build team at site job walks/meetings/project build/project close out.
 Jobsites are unpredictable. Employee must be able to work occasionally in extreme temperatures ranging from 30 degrees F to 110 degrees F in wet or dry conditions.

Job Type: Full-time

Additional Compensation:
Bonuses
Work Location:
Multiple locations
Benefits:
Health insurance
Dental insurance
Retirement plan
Paid time off
Tuition reimbursement
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Schedule:
Monday to Friday
Company's website:
Redhorse Constructors
Company's Facebook page:
Redhorse Constructors",2.4,"Redhorse Constructors, Inc.
2.4","San Rafael, CA",-1,51 to 200 Employees,1985,Company - Private,Construction,"Construction, Repair & Maintenance",$25 to $50 million (USD),-1
4,Technical Project Manager,$39K-$102K (Glassdoor est.),"The Technical Project Manager will be responsible for managing Clinical Health Informatics projects managing systems supporting phase II clinical trials such as electronic data capture (EDC) and clinical trial management systems (CTMS), electronic Patient Reported Outcomes (ePRO), and Electronic Health Record (EHR) integrations. The TPM is accountable for the successful implementation of technical solutions through effective planning and execution throughout all phases of our project management methodology. The incumbent is responsible for resource and vendor management, tracking budgets and financial forecasts, creating and tracking detailed project plans, effectively leading and facilitating project meetings as well as proactively controlling project scope, risks and issues. Additionally, the person in this position must effectively manage the projects across global locations and time zones and be able to travel as needed.

Success as a Technical Project Manager will be evaluated based on the ability to manage projects and deliverables across matrixed technical teams. On a day-to-day basis, the TPM will be hands on with the software development team and making sure the developers are on the right track and following our software development lifecycle. The TPM will be assisting testing and validation teams in drafting functional requirements and validation documentation for compliance and regulatory requirements.
GENERAL DUTIES AND ESSENTIAL JOB FUNCTIONS: *
· Support software project management efforts for Quantum Leap Healthcare Collaborative (QLHC) that houses two national programs and one statewide initiative for clinical care and research – the I-SPY TRIALs consortium for COVID – 19 and breast cancer, the Athena Breast Health Network and breastcancertrials.org.

· Work with management, financial, and other IT teams to support business program project management execution in a fast paced, startup environment.

· Support Agile software development methodology with weekly sprint planning sessions using JIRA Cloud software suite

· Support Daily stand ups with assigned development team, prioritize features and rollout plan/schedule

· Work closely with external vendors and developers to build out health technology solutions that

· Point of contact for matrixed, cross departmental IT and software development initiatives.

· Demonstrate resilience in working external academic and research institutions where specifications and timelines may be fluid

· Monitor user feedback on software tools and end-user support through helpdesk and bug tracking tools

· Suggest new features and prioritize enhancements/bug fixes

· Coordinate requirements gathering session with business stakeholders

· Report to management on product success/failures

· Monitor program and project expenses informing leadership if there may be deviations from the allotted budgets.

· Ensure that program and project deliverables meet quality standards and project requirements.

· Develop best practices to improve program and project performance.

· Direct development and maintenance of program and project documentation.

· Utilize rigorous risk identification and mitigation process on an ongoing basis and convey effectively to internal management.

· Facilitate trade-off decisions between quality, costs, resources, scope and time.

· Work with users to ensure functional and technical requirements are well defined and completely understood.

· Always strive for process improvements whenever and wherever possible.

· Support development of overall IT program project plans, budgets, schedules, and scope.

· Work with other program and project managers to develop common, shared program and project management standards and methodologies to achieve program goals.

Skills/Competencies
Knowledge of JIRA Cloud and project management software
Computer skills - Working knowledge of MS Office suite and Google applications.
Able to generate business correspondence, create forms and generate reports as required.
Life Science, clinical trial focus and experience preferred
Project Management Professional (PMP), preferred
Scrum Master Certification, preferred
5+ years with project management in Agile environment
5+ years working with software development and/or data management teams
Some software development experience, preferred using JIRA, RDBMS, JAVA, EDC and/or EHR systems
Strong communication and presentation skills
Demonstrates strong written and verbal communication skills.
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Professional Development Assistance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Jira: 5 years (Required)
Microsoft and Google Application: 5 years (Required)
Life Science: 5 years (Preferred)
project management in Agile environment: 5 years (Preferred)
License:
Scrum Master Certification (Preferred)
Work Location:
One location
Company's website:
https://www.quantumleaphealth.org/
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",1.7,"Quantum Leap Healthcare Collaborative
1.7","San Francisco, CA",-1,1 to 50 Employees,-1,Nonprofit Organization,-1,-1,Less than $1 million (USD),-1
5,Restoration Project Manager,$39K-$102K (Glassdoor est.),"Job Summary*
Supervises and coordinates activities of restoration technicians. Responsible for project coordination and documentation.
General Accountability*
Inspection of new jobs and assessment of damage
Estimate material or worker requirements to complete jobs.
Plan and execute procedures necessary to restore building damage
Job Documentation - Record information such as personnel, production, or operational data on specified forms or reports electronically
Examine and inspect work progress, equipment, and construction sites to verify safety and to ensure that specifications are met
Supervise, coordinate, or schedule the activities of construction workers and laborers.
Confer with managerial personnel, other departments, or contractors to resolve problems or to coordinate activities.
Coordinate work activities with other subcontractors
Order or requisition materials or supplies
Locate, measure, and mark site locations or placement of structures or equipment, using measuring and marking equipment
Assign work to employees, based on material or worker requirements of specific jobs.
\*The company reserves the right to add or change duties at any time.
Job Qualifications*
Education: High school diploma or equivalent
Experience: 5-7 years of related experience in the construction/restoration field
Skills*
Excellent verbal and written communication
Critical thinking
Problem solving
Time management
Management of personnel resources
Customer Service
Tech savvy
Job Type: Full-time

Pay: $60,000.00 - $80,000.00 per year

Experience:
Construction Management: 5 years (Preferred)
Education:
Associate (Preferred)
License:
IICRC (Preferred)
Project Management (Preferred)
Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Paid time off
Flexible schedule",-1,Dry Kings Restoration,"San Rafael, CA",-1,-1,-1,-1,-1,-1,-1,-1
6,Assistant Project Manager,$39K-$102K (Glassdoor est.),"*_Duties/Responsibilities will Include: _*

Manage project submittal process and RFI's.

Assist in scheduling and project work plan.

Assist in quantified takeoffs.

Attend pre-bid meetings, obtain subcontractor quotes and estimates.

Assist in preparation of project bid estimates.

Assist in procurement of project materials.

Track material deliveries.

*\_*\_
_\*_\*

*_Qualifications: _*

Strong computer skills

Must know P6 program for scheduling

Good math and accounting skills

Strong management skills, excellent time management skills and team player.

Exhibits strong client relationships.

Confident worker.

Bachelors Degree in Construction Management or Engineering is a must.

*_Location: _*

Most work will be done at our Office in Concord, CA.

*_Compensation: _*

Salary is negotiable. Position includes good medical insurance, profit sharing and vacation.

Job Type: Full-time

Benefits:
* Health Insurance
* Retirement Plan
Schedule:
* Monday to Friday

COVID-19 considerations:
To keep our employees safe we are practicing 6 ft social distancing in the Office.

Work Location:
* One location

Company's website:
* Caroneandcompany.com

Work Remotely:
* No",-1,Paving/Grading/ Underground Utility Contractor,"Concord, CA",-1,-1,-1,-1,-1,-1,-1,-1
7,Assistant Project Manager,$39K-$102K (Glassdoor est.),"*_Duties/Responsibilities will Include: _*

Manage project submittal process and RFI's.

Assist in scheduling and project work plan.

Assist in quantified takeoffs.

Attend pre-bid meetings, obtain subcontractor quotes and estimates.

Assist in preparation of project bid estimates.

Assist in procurement of project materials.

Track material deliveries.

*\_*\_
_\*_\*

*_Qualifications: _*

Strong computer skills

Must know P6 program for scheduling

Good math and accounting skills

Strong management skills, excellent time management skills and team player.

Exhibits strong client relationships.

Confident worker.

Bachelors Degree in Construction Management or Engineering is a must.

*_Location: _*

Most work will be done at our Office in Concord, CA.

*_Compensation: _*

Salary is negotiable. Position includes good medical insurance, profit sharing and vacation.

Job Type: Full-time

Benefits:
* Health Insurance
* Retirement Plan
Schedule:
* Monday to Friday

COVID-19 considerations:
To keep our employees safe we are practicing 6 ft social distancing in the Office.

Work Location:
* One location

Company's website:
* Caroneandcompany.com

Work Remotely:
* No",-1,Paving/Grading/ Underground Utility Contractor,"Concord, CA",-1,-1,-1,-1,-1,-1,-1,-1
8,Project Coordinator,$39K-$102K (Glassdoor est.),"Axis Construction Consulting is a national professional consulting firm providing construction claims and litigation support. Axis Construction Consulting specializes in forensic construction, architectural, engineering, water and fire restoration, and cost accounting investigations.

Our Roseville office is seeking a motivated, creative, organized, and experienced Project Coordinator with a strong focus on construction. We are seeking candidates with construction experience as project coordinator and/or manager.
Role and Responsibilities*
The specific responsibilities of the Project Coordinator are:

· Evaluate construction insurance and litigation claims.

· Interpret and organize homeowner, general contractor and subcontractor job files’ billing and correspondence.

· Evaluate templates for responding to plaintiff claims.

· Read and summarize deposition transcripts and exhibit documents.

· Prepare forms and templates for consult analysis.

· Provide strategic analysis regarding the above descriptions.

· Support the team with scheduling, as well as general office.
Qualifications and Education Requirements*
· Minimum of high school education or GED.

· Excellent writing and communication skills.

· Must have a valid California (Class C) Driver’s License.
Preferred Skills*
The ideal candidate should have/be:

· Working knowledge of Microsoft Windows, MS Outlook, Work, Excel and Adobe Acrobat.

· Highly organized individual with attention to detail who can efficiently identify errors, discrepancies and variances, while maintaining client trust and integrity.

· Effective communicator with ability to communicate professionally in email, in meetings and on the phone.

· Highly organized and able to prioritize tasks while working effectively with limited supervision.

· Ability to work well both individually and as a part of a team.
Experience: *
· 5 years’ work experience in a relevant position or industry (Required).

· Microsoft Office: 2 years (Preferred).
Work authorization: *
· United States (Required)

· Job Type: Full-time

Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Flexible Spending Account
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
Administrative: 2 years (Required)
Construction : 2 years (Preferred)
Education:
High school or equivalent (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
Stable -- traditional, stable, strong processes
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Company's website:
www.axisconsults.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1,"Axis Construction Consulting, Inc.","Roseville, CA",-1,51 to 200 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
9,Senior Project Manager,$39K-$102K (Glassdoor est.),"Senior Project Manager

Position Summary:

The Senior Project Manager will be managing concurrent Data Center campus Master Planning projects for the client. This role will provide End to End (E2E) ownership of Regional Master Planning projects to ensure their delivery on time, within budget and to the satisfaction of the client and all stakeholders. The Senior Project Manager will oversee the day-to-day activities by liaising with the client's on-site Owners Rep during the Pad, Utilities & Foundations scope. This role will coordinate the flow of information and report and track issues arising from progress, quality and safety. The successful candidate will be client facing with proven communication and organizational skills.

Role and Responsibilities:

Manage multiple, simultaneous data center campus development projects from Due Diligence and Master Planning through Campus Development and handover (to Vertical Construction Team).
Working with AE Teams to ensure delivery of Master Site Plans and BOD (Basis of Design) documentation to agreed milestone schedules.
Assist with Utility Studies to assess options for power, water and sewer to efficiently manage site constraints.
Develop Project Execution Plans in line with client requirements and including communication plans and key events.
Liaise with permitting authorities and utility providers and aligning key milestones based on their timelines.
Engagement with Geotech Surveyors and coordinating with AE & Engineering Teams on the associated risks, requirements, etc.
Input into the preparation of RFP & SOW documentation for the General Contractor and other vendor teams; evaluation of returns for alignment to RFP/SOW requirements and interview & scoring vendors to aide client decisions.
Chair and minute all project meetings as established in the PEP, including regular meetings, risk workshops, value engineering workshops and schedule reviews
Monitor project works on site and sign off on progress certification as required under contractual agreement
Monitor project schedules and report on exceptions to the plan
Regularly report to the client on the key project parameters
Ensure all relevant environmental, health and safety standards are being followed, encouraging a positive health and safety culture
Develop and manage Program Level reporting on project statuses relating to Schedule, Budget, Safety and Project Risk.

Desired Experience and Education:

Minimum of 10 years experience as a Project Manager supporting Utilities (Power, Water & Sewer) projects
Qualified Civil Engineer
Degree qualified in Construction Management, Engineering, Quantity Surveying or similar construction related discipline
Data Center or large scale industrial experience
Experience working on Master Planning or Site Selection programs
Excellent communication skills
Excellent IT skills, with G-Suite and Data Visualization software experience preferable
The ideal candidate will be results driven, self-motivated and resourceful with excellent client relationship skills

Are you looking for a career with a leading global organization, working on a dynamic range of projects? Linesight has been providing professional consultancy services, management support and strategic advice to the global construction industry since 1974. We offer you the opportunity to progress your career, work on exciting projects with world-renowned clients, and be a part of a fast-growing, fast-paced global team.

We have deep domain knowledge and experience spanning a multitude of sectors including Commercial, Data Centers, Life Sciences, Healthcare, High-Tech Industrial, Hospitality, Education, Residential and Retail. As an organization, we seek out innovative self-starters with the skills to deliver exceptional outcomes for our clients, and the desire to shape the environments in which we live.

Our company provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.",4.3,"Linesight
4.3","San Francisco, CA",-1,501 to 1000 Employees,1974,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
