,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Sales Development Representative,$46K-$83K (Glassdoor est.),"We are looking for a talented and competitive Sales Development Representative (SDR) that is excited at the opportunity to thrive and grow at a high-growth, major VC backed startup. We love an entrepreneurial spirit and someone who wants to come in and grow our company and build their personal brand. You are competitive, want to be the best, but also a team player that makes those around you better.
Responsibilities
Provide the best possible experience to all leads interested in FreeAgent CRM via multiple channels including phone, email and live chat
Have the desire and energy to complete a high volume of daily calls/activities
Qualify prospects based on established criteria and gather critical sales intelligence
Develop rapport with prospects by anticipating needs and understanding their requirements
Deliver consistently against quota
Proactively provide feedback on sales tools, lead quality, and ideal customer profiles
Requirements
Bachelors degree required
Intern or 1-year relative experience
Commitment to pursuing a career in sales
Competitive team player who wants to be the MVP and help the entire team succeed
Ability to multi-task, prioritize, and manage time effectively
Desire to quickly climb the ranks and grow into an Account Executive position
Familiarity with common office and CRM software",4.6,"FreeAgent CRM
4.6","Oakland, CA",-1,1 to 50 Employees,2016,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
1,"Sales Operations Analyst, Systems",$46K-$83K (Glassdoor est.),"Our agreement with employees

DocuSign is committed to building trust and making the world more agree-able for our employees, customers and the communities in which we live and work. You can count on us to listen, be honest, and try our best to do what's right, every day. At DocuSign, everything is equal. We each have a responsibility to ensure every team member has an equal opportunity to succeed, to be heard, to exchange ideas openly, to build lasting relationships, and to do the work of their life. Best of all, you will be able to feel deep pride in the work you do, because your contribution helps us make the world better. And for that, you'll be loved by us, our customers, and the world in which we live.

The team

Our Field Sales Operations team collaborate with finance, sales and GTM strategy leadership team across the globe. We design, implement and manage balanced territories using accurate and insightful data to ensure that every sales rep has an equal chance at success and to minimize disruption or distraction caused by account ownership ambiguity. We focus to build, improve and automate upon existing processes to increase productivity. Manage efforts to clean up and improve data across systems.

This position

The Sales Operations Analyst is a detailed, adaptable problem-solver responsible for maintaining key sales Global Sales Operations processes. A successful analyst thinks critically, logically, and creatively to resolve existing issues and to develop proactive measures for potential roadblocks to the Sales & Business Development organization at large.

This position reports to the Director, Sales Operations Business Systems and COE.

Responsibilities
Assist with administering sales suite systems, including SFDC and Anaplan
Work cross-functionally with business owners to ensure changes to SFDC and other sales systems are consistent with business needs
Partner with HR, Sales managers, and business partners to identify headcount movement for new hire onboarding, termination off-boarding, promotions, and new team alignment
Quickly solve sales process pain points in the moment, while developing more efficient long-term solutions
Making strategic decisions with sales system and process leaders around sales user's data management
Leverages technology to create organization efficiencies, automation linking SFDC and reporting tools, as well as accounting systems
Continue to progress data quality efforts within enterprise systems such as Salesforce.com and other tools to ensure all end users are accessing accurate and timely data
Examples of those activities would be the following:
Place new hires into the Salesforce hierarchy
Maintain quota data with updates on new hires, transfers and promotions
Audit the user data for correctness to plan
Basic Qualifications
Bachelor's degree
2 years of relevant work experience (Sales Operations, Finance, Sales Compensation)
Proficiency with Microsoft Office
Intermediate/advanced skills in MS Excel (VLOOKUP & Pivot Charts a must)
Preferred Qualifications
Strong organizational skills and business judgment with the ability to handle projects independently end-to-end
Experience with salesforce.com
Excellent communication and critical thinking skills to understand sales policies and processes at a company and individual sales rep level
Logical thinking
Creative problem-solving skills
Precise attention to detail
Self-starter work ethic
Sales & Business Development @ DocuSign

Our technology is transforming the way our customers live their lives and do business. Our Sales team is collaborating with customers across the globe to help them leverage our technology to change the way they do business. Our Business Development team is partnering with some of the largest most innovative companies in the world and in their industries to bring the power of DocuSign to more customers. Whether you are selling to an individual or a large enterprise, you will apply your extensive knowledge of our product and strategic partnerships to help our customers grow their top and bottom line.

About DocuSign

DocuSign® is changing how business gets done by empowering hundreds of thousands of customers and tens of millions of users in most countries around the world to sign, send and manage documents anytime, anywhere, on any device with confidence. DocuSign replaces printing, faxing, scanning and overnighting documents with the easiest, fastest, most trusted way to make every approval and decision digital. Organizations of all sizes and industries are accelerating contracts, approvals and workflows with DocuSign's Digital Transaction Management (DTM) platform and eSignature solution. DocuSign keeps life and business moving forward.

DocuSign is an Equal Opportunity Employer. Individuals seeking employment at DocuSign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.

#LI-DS1",4.6,"DocuSign, Inc.
4.6","San Francisco, CA",-1,5001 to 10000 Employees,2003,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),-1
2,Sales Administrator,$46K-$83K (Glassdoor est.),"Job Description*
ARIA Technologies is an industry leader in high quality fiber optic connectivity products. We design and manufacture solutions for Datacenter, Cable TV and Carriers. Our continued growth has created an excellent opportunity for you to join our team of professionals.

We are currently seeking an *Inside Sales Administrator*. The ideal candidate will have experience within a technology company and possess a passion to serve customers, a strong work ethic and a commitment to excellence. This is a hands-on position with regular customer contact via telephone and email.
Primary Responsibilities: *
 Develop and maintain positive customer relations and coordinate with various functions within the company to ensure customer requests are handled appropriately

 Order processing: Process orders, provide confirmation receipts and estimated ship dates, provide order status

 Sales Support: Generate Quotes, Support District Sales Managers with CRM updates to ensure that the opportunities are kept current and accurate.

 Order Tracking/Status: Provide order status and backlog reports, track key customer activity, update customers as needed and provide continual feedback to District Sales Managers

 Other duties as assigned
Job Requirements*
Qualifications: *
 Must be able to maintain a professional and calm demeanor

 Must possess meticulous attention to details and product requirements

 Must possess strong collaborative skills with both internal and external customers

 Must be able to review legally binding documents (i.e. terms and conditions) for accuracy and learn and understand

 Experience in a high-tech company in a sales support/customer service capacity is helpful
About ARIA Technologies, Inc.*
Some of the most demanding end users such as Data Centers, CATV MSO and Independent Telcos prefer ARIA products for their important networks.

ARIA Technologies is an industry leading designer, manufacturer, and provider of fiber optic connectivity products located in Livermore, CA

Our commitment to responsive, informative, timely, and knowledgeable customer service and support makes ARIA stand out among suppliers.

Dedication to customer satisfaction allows us to provide innovative, performance driven, high quality products that transform the telecommunications industry.

We specialize in the manufacturing of high performance fiber optic cable assemblies and enclosures.

Our product offering includes: jumpers (patch cords), multi-fiber cable assemblies, rack-mount enclosures, wall mount enclosures, and fiber optic and copper based network components

Job Type: Full-time

Pay: $38,000.00 - $43,000.00 per year

Benefits:
401(k)
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Experience:
Inside Sales: 1 year (Preferred)
Education:
Associate (Preferred)
Work Location:
One location
Schedule:
Monday to Friday
Day shift
8 hour shift
Other
Company's website:
www.ariatech.com
Company's Facebook page:
https://www.facebook.com/ARIA-Technologies-Inc-128882600470103/
Benefit Conditions:
Waiting period may apply",3.9,"ARIA Technologies, Inc.
3.9","Livermore, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Sales Representative,$46K-$83K (Glassdoor est.),"Closet World* is a complete home organizing service and the industry leading manufacturer of fine quality custom closets, garage systems, home offices, and organizing storage needs.
If you have a passion for customer service and an interest in earning and income working with a design company that offers warm leads, full commission and a flexible work schedule with the ability to work near and from your home, Closet World is the place for you!

We pride ourselves in training our sales designers to design units that are unique to each customer’s home! Our goal is simple, to help our customers get their personal environment organized quickly, easily and done in the right style; personalized for each customer!
Here is what you need to know about working at Closet World…*
Work out of your own home and close to home!
Ability to thrive in a full commission/bonus sales environment
Pre-set appointments (no cold calling!)
Product and sales training provided
Excellent marketing materials
Great support from a team of managers
Flexible Schedule, yet full time employment
You are an employee, not an Independent Contractor
Immediate Start!
Recognition for hard work and a job well done
Ability to add value and room for upward mobility!
What you will do…*
Cultivate personal relationships to generate business leads
Deliver branded client experience
Measure the customer’s space and itemize their belongings
Present creative ideas and samples to help them create a style that's just right!
Work with customer to add accessories and decide on colors and finishes
Choose an installation date; most installations are scheduled within a week
Develop relationship with clients
Use structured planning approach to uncover expressed and unexpressed needs
Design solutions to address client needs
Close sales
Maintain appropriate contact to continue to mine opportunities for future annuity
Must haves…*
Great people skills
Fun and outgoing personality
A creative side
Reliable transportation
Sales or Design experience a plus but not necessary
Perseverance and productivity – overcome challenges and close the sale
Valid driver’s license and a clean driving record (reliable vehicle required)
Ability to work flexible hours that accommodate our customers’ needs
If this sounds like the next step you’ve been waiting to take in your career, we want to talk! The ideal candidate for this position has a positive attitude, a tireless work ethic and a contagious passion to provide the high levels of customer service!
Why work here?*
_“Our brand name is everywhere and helping others get organized improves the quality of their lives. Customers love our product!”_

Job Type: Commission",-1,"Home Organizers, Inc","San Francisco, CA",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Solar Residential Sales/ Business Development Professional,$46K-$83K (Glassdoor est.),"American Solar has an IMMEDIATE OPENING for a highly motivated sales / business development professional to join our Residential Builder Services Development team that focuses on high-end, high-quality residential energy systems, including Solar, Energy Storage and EV Charging.

American Solar is a progressive Solar and Energy Storage Design and Installation Company located in Sausalito. We differentiate ourselves by being relationship-focused with an offering of the best quality systems and service. We are seeking like-minded individuals to join our team, to help us grow the great work we do and become a long-term part of a great company.

The ideal applicant brings exemplary writing and communication skills and the motivation to identify and reach new contacts in the design-build channel of prominent architects and general contractors, as well as working directly with homeowners.
Responsibilities*
Follow up with leads (provided by company and self-generated)
Work with prospective clients and relationships to educate and qualify potential opportunities
Design / develop proposed solutions using state of the art modeling tools
Present proposals to prospective clients
Attend networking events to generate leads and referrals
Track all sales activity in CRM and provide weekly report.
Qualifications*
Exemplary communication and interpersonal skills
Strong technical and writing skills
3+ years’ experience selling solar systems (knowledge of storage a plus)
Experiences with solar modelling software
Self-motivated and highly organized
Other construction / electrical experience is a plus codes
Proficient with MS Office, CAD, CRM
Compensation*
Compensation includes a base salary commensurate with abilities and experience plus generous commissions that grow based on performance. Company offers Medical benefits, paid vacation and 401k options as well.

Thank you,

American Solar Management

Job Type: Full-time",2.5,"American Solar Corporation
2.5","Sausalito, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
5,Sales Consultant,$46K-$83K (Glassdoor est.),"Mercedes-Benz of San Francisco is seeking Luxury Automotive Sales Representatives to be a part of their TOP selling store.

Ideal Sales Candidate Qualifications:

Sales Associates must have good communication skills; both written and verbal. Must have a positive attitude, professional demeanor, appearance and possess an expert ability to follow up with superior customer service.

As a Luxury Sales Representative you will sell new and used automobiles by understanding and demonstrating characteristics, capabilities, and features; developing and qualifying buyers and closing sales. Ability to work effectively and possess personal accountability in a team environment.

Become a part of an award winning team that offers growth opportunity, excellent earning potential and leadership that appreciates your drive, skills and ability. We are an equal opportunity employer and a drug free workplace. We offer competitive pay, health, and dental benefits.

To apply:

Please apply at www.sfbenz.com under the ‘about us’ employment tab. No phone calls please.

Job Type: Full-time

Experience:
sales: 1 year (Preferred)
Benefits offered:
Paid time off
Health insurance
Dental insurance
Healthcare spending or reimbursement accounts such as HSAs or FSAs
Retirement benefits or accounts
Employee discounts
Workplace perks such as food/coffee and flexible work schedules",3.5,"Mercedes-Benz of San Francisco
3.5","San Francisco, CA",-1,201 to 500 Employees,-1,Company - Private,"Department, Clothing, & Shoe Stores",Retail,Less than $1 million (USD),-1
6,Outside Sales Representative,$46K-$83K (Glassdoor est.),"Outside Sales Representative*
If you are seeking a career with a company that provides a supportive, stable, and fun, work environment—and a sales structure that compensates individuals according to their efforts, then Ontario Refrigeration may be the place for you.

In this, our 60th year, we have a proven approach to attract new customers, and an experienced sales management staff to provide coaching and ensure success.

We seek an ambitious Outside Sales Representative to join our Sales Team in the Bay area. You will be responsible for attracting new customers, driving sales, and office growth. Target market is existing commercial buildings, and position requires a resourceful sales professional.

$55,000 starting salary plus commission, vacation, holidays, 401K with 30% match, medical, dental, life, company vehicle, and Hawaiian vacations! First year $100k+ earning potential!

We are California’s premier provider of HVAC services and are looking for someone who is ready to jump in, and help our fast-growing business grow even faster.
Job Functions and Responsibilities: *
As an Outside Sales Representative you will call-on and develop relationships with commercial building owners and managers. Generate and present cost-effective HVAC maintenance programs to qualified prospects—and secure annual maintenance agreements. Continually enhance sales skills and industry knowledge, to promote professional image. Coordinate with operations to ensure the delivery of legendary service.
Required Experience: *
2+ years of successful outside sales experience
For consideration email your resume to luke@ontref. com *AND *call (909) 509-8849 to leave a voicemail for Luke describing why this position may be right for you. Please indicate which of our ten offices your are interested in!

We look forward to hearing from you!

Job Type: Full-time

Pay: $55,000.00 per year

Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Paid Time Off
Schedule:
Monday to Friday
Experience:
Sales: 2 years (Preferred)
Outside Logistic Sales: 1 year (Preferred)
Additional Compensation:
Commission
Paid Training:
Yes",3.9,"Ontario Refrigeration Service, Inc.
3.9","San Jose, CA",-1,51 to 200 Employees,1958,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$50 to $100 million (USD),-1
7,Inside Sales Representative,$46K-$83K (Glassdoor est.),"Slakey Brothers is a wholesale distributor dedicated to providing the best total value and service to our customers. The key element of our service is supplying our customers what they need, when and where they need it. Followed closely by providing our customers with resources they need to succeed like technical information, technical training. Slakey Brothers is a wholesale distributor dedicated to providing the best total value and service to we service the HVAC, plumbing and pipe, valve, and fittings (PVF) markets in California, Northern Nevada and Southern Oregon.

The Inside Sales Representative HVAC performs a variety of inside sales, promotion and customer service duties with primary focus on increasing sales by developing strong customer relationships, generating new leads and implementing the Company’s sales and marketing programs, maintaining constant awareness of the market, competitor activities and problems and resolving customer issues.

Qualifications include:
• Minimum 3 years HVAC industry related experience
• Minimum 1 year sales related experience
• Experience with new account development/product introduction desired
• Ability to related to people at all levels, communicating both on a technical and non-
technical basis
• Demonstrated exceptional interpersonal, verbal and written communication skills
• Knowledge of HVAC/Plumbing industry
• High School Diploma or equivalent
• College/Industry related certification a plus.
• Ability to lift up to 75 pounds

If you are looking for a great work environment, stability, and opportunities for advancement, apply today! To be considered for a position with Slakey Brothers, all applicants must apply on our company website: www.slakey.com

Job Types: Full-time, Part-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Tuition Reimbursement
Vision Insurance
Schedule:
Day shift
Monday to Friday
Experience:
customer service: 1 year (Preferred)
Education:
Associate (Preferred)
Language:
Spanish (Preferred)
Paid Training:
Yes
Management:
Ops Manager
Typical start time:
8AM
Typical end time:
5PM
Company's website:
www.slakey.com",3.5,"Slakey Brothers, Inc.
3.5","Jackson, CA",-1,201 to 500 Employees,1939,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1
8,Sales Representative,$46K-$83K (Glassdoor est.),"SSCS is looking for a highly motivated person who wants to make a difference within an innovative technology company. SSCS is a best-in-class software platform convenience store operator’s use to manage all aspects of their business.

In this position, you’ll work with our team of professionals to understand how our software helps drive success for our customers. Working closely with other sales team members, you will collaborate on sales strategies and tactics, ranging from out-bounding campaigns, webinars, industry trade shows and educational activities. Your income is directly correlated with your effort and there are no limits to what you can earn.

Key Responsibilities, Duties and Functions

· Research potential accounts, identify key personnel within their organization, and prioritize sales targets.

· Initiate outbound contact with prospects via email and telephone to generate interest and reach prospective customers.

· Participate in and network effectively at several industry conferences each year.

· Acquire a fundamental understanding of and proficiency in our suite of technology solutions.

· Articulate clearly the capabilities, benefits, and advantages of our solutions.

· Perform product demonstrations with prospective customers, both live and via web-conference.

· Build long-term relationships to optimize customer satisfaction and product uptake.

· Update SSCS’s CRM tool with prospect and customer comments.

Qualifications, Experience and Education

· Minimum of 1-2 years professional experience.

· BS degree or related experience.

· Desire to excel and grow as a sales professional.

· Ability to successfully prospect new accounts.

· Capacity to work in a fast-paced and dynamic environment.

· Flexibility to wear many hats and multi-task, often on a moment’s notice.

· Excellent analytical, organizational, and written and oral communication skills.

· Ability to travel approximately 5%- 10% of the time for conferences or other training activities.

Preferred, but Not Required

· Specific experience selling software, SaaS products or services.

Benefits
We recognize employees as our most valuable assets. We offer competitive salaries, benefits packages and great career growth. You may qualify for:

· Paid vacation, sick leave, and holidays

· Medical benefits

If you are interested in this position, please submit your resume.

Should you have any questions, please contact our Human Resources Department at 831-755-1800.

Job Type: Full-time

Benefits:
Disability Insurance
Health Insurance
Paid Time Off
Schedule:
8 Hour Shift
Monday to Friday
COVID-19 considerations:
SSCS, Inc currently follows all mandated CDC guidelines for Covid-19.

Experience:
Sales: 3 years (Preferred)
customer service: 1 year (Preferred)
Education:
Bachelor's (Preferred)
License:
Driver's License (Required)
Work authorization:
United States (Required)
Required travel:
25% (Required)
Additional Compensation:
Commission
Work Location:
Fully Remote
Paid Training:
Yes
Management:
Key Leader
Typical start time:
8AM
Typical end time:
5PM
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Company's website:
sscsinc.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",2.6,"Service Station Computer Systems, Inc
2.6","Salinas, CA",-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1
9,Sales Coordinator,$46K-$83K (Glassdoor est.),"SALES COORDINATOR*
Seeking driven and motivated candidates to join our awesome sales team! We are a growing local solar and energy company in Northern California and are seeking passionate, talented, and service oriented inside sales team members. This is a great opportunity to work in a growing industry with unlimited opportunity for professional growth and success.*
As an Sales Coordinator you will be the first point of contact and internal coordinator of the Vital Energy Sales Team. The Inside Sales Rep provides a foundation for the outside sales team as well as logistical coordination for the sales department. The primary function will be to drive growth through contacting, qualifying, and scheduling sales appointments. This position is crucial to the support of our outside sales team and customer satisfaction by energizing opportunities from provided leads to final sale.

On a typical day you would: Talk with current or prospective customers through phone, email, website, or walk-in. You would also work with our outside Sales Team on proposals, presentations, reports, and data collection and provide a high level of internal support to the Energy Consultants and future customers.

Our Inside Sales Team and this role is integral to the success of our company. You are often the first point of contact and the face of the company and set the tone for the entire customer experience. It is critical that we strive to provide the highest level of service and support to our customers and sales team to make sure our projects are successful and ensure the highest level of customer satisfaction.

Essential Duties and Responsibilities:
Act as the main internal point of contact for Sales-related inquiries and intakes.
Contact, intake, qualify, and schedule appointments with prospective customers/leads with Energy Consultants.
Capture customer information to verify job feasibility through calls, emails, website requests, etc. Determine project eligibility by viewing job specifics and scheduling accordingly.
Conduct lead conversion and generation activities to maintain scheduling and sales goals, consistently reviewing and maintaining lead lists or opportunities and reaching out until scheduled.
Manage and monitor lead generation systems.
Provide a pleasant and supportive buying experience for customers while assertively pursuing every opportunity.
Screen and assign qualified leads to Energy Consultants by territory and expertise.
Setup jobs and update systems with all gathered customer and job info, intake sheets, and docs.
Gather utility info via intake or automated system.
Prepare and coordinate system designs, proposals, presentation folders, and final contracts for in-person and virtual site visits via print, email, and DocuSign.
Update and maintain CRM and sales trackers with current project status, info, customer and team communications docs. Regularly check in with Energy Consultants to gather current activities/status and make sure updated and complete.
Track and manage customer communications through customer support email and phone systems, CRM, website chats, etc.
Communicate with customers and team members through our CRM, website, email, email templates, and text.
Have the coachability to receive and implement technical sales and solar coaching and training.
Achieve specific calling and conversion goals.
Report-out status of projects at the sales stage or 'in the pipeline'
Assist with other areas of the business as needed (retail, sales, marketing, events)
Generate new leads for the sales team. Ex: through referral calling campaigns, promotional events, marketing campaigns, or personal networking
Skills and Qualifications:
Outgoing, positive, & detailed oriented.
1-4 years of Sales Experience
Computer literacy including but not limited to: 45 WPM, CRM Systems/ lead tracking systems experience, versatility in Google platform: Google Sheets, Google Docs, Gmail, Google Drive, Google Earth, and various other computer based platforms.
Excellent in verbal communication, phone skills, listening, technical and data entry skills, with a customer oriented focus, attention to detail, professionalism, & ability to multitask.
Ability to work hard, eager to learn, be coachable, and accomplish set goals.
Maturity to work independently and as part of a team.
Associates degree or higher. (Will accept experience as replacement)
Experience in sales, phone sales, and solar industry is a plus.
Passion for helping others, renewable energy and solar.
Growth Opportunities:

In this role, you will develop strong sales and industry skills through experience, repetition and hands-on coaching. You will become well versed in most aspects of the solar and energy industry and products. You will have the opportunity to support your community and planet through helping customers save money, reduce toxic emissions, and gain energy independence and safety.

There are opportunities for promotion within the inside sales team as well as opportunities to expand into outside sales by consistently meeting or exceeding lead conversion and lead generation goals and demonstrating strong expertise in industry, financial and technical concepts and requirements (system design, equipment, finance options, ROI, trends, requirements, etc.). Opportunities include conducting residential in-person consultations, commercial sales, managing promotional events, social media, promotion/marketing, and managing retail location floor sales.

Compensation:

Guaranteed base pay plus sales bonuses, sick leave, and paid holidays. An increase in pay will become available upon successfully completing 90 days.

Job Type: Full-time

Experience:
Solar: 1 year (Preferred)
Customer Service: 2 years (Preferred)
Sales or Phone Sales: 2 years (Preferred)
Education:
Associate (Preferred)
License:
Driver's License (Required)
Additional Compensation:
Commission
Bonuses
Work Location:
One location
Benefits:
Paid time off
Work from home
Flexible schedule
Professional development assistance
Paid Training:
Yes
Management:
Team Lead
Typical start time:
8AM
Typical end time:
5PM
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Schedule:
Monday to Friday
Company's website:
www.vitalenergysolar.com
Benefit Conditions:
Waiting period may apply
Work Remotely:
Temporarily due to COVID-19",-1,Vital Energy Wellness and Rehab Center,"Sebastopol, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
