,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,"Principal UX Designer, Physical Product",$159K-$299K (Glassdoor est.),"At Sonos we want to create the ultimate listening experience for our customers and know that it starts by listening to each other. As part of the Sonos team, youll collaborate with people of all styles, skill sets, and backgrounds to realize our vision while fostering a community where everyone feels included and empowered to do to the best work of their lives.

Sonos is looking for a Principal UX Designer to join our Core Platform UX team. In this role, you will work as a critical part of the team that delivers a secure, connected and immersive sound platform to enable innovative listening experiences on Sonos Hardware. Driving and executing against the roadmap and company strategy, you will work closely with partners across hardware and software to bring new products and sound experiences to market.* Embrace the system: Go deep to understand the technical landscape of the Sonos system and identify opportunities to deliver the best experience possible in leveraging and extending the Sonos platform while aligning with critical strategic objectives.
Partner and organize: Partner within UX and across hardware and software disciplines to identify what work should be done when and why; supporting existing processes in place, adapting to the needs of a particular program, and innovating on new ways for all of us to work more effectively and achieve great outcomes.
Lead: As a senior member of the team, you will lead by example when it comes to collaboration, organization, innovation and connecting the dots between a single program and the broader Sonos experience. Your experience will position you to lead large, complex programs which may or may not have other UX designers involved in the day to day. You have the ability to drive a complex program on your own, and the experience to lead other designers when the opportunity exists.
You will engage early and upstream in program incubations, where you will navigate program and experience ambiguity to identify critical experience opportunities and craft a vision for the path forward. You will be able to articulate, visualize, and share this experience vision with program and company leaders.
You will work creatively and collaboratively in honing the vision and detail for product experiences, identifying solutions that embrace the complexity that exists at the intersection of hardware and software. You will experiment, prototype, test and refine ideas that support that vision and the broader experience goals of Sonos.
You will embrace and drive all of the nitty gritty details that are needed to bring a program and product experience to market and will be expected to partner across a wide set of teams in hardware and software to make it happen.
As a senior member of the team, you will contribute meaningfully to the culture of UX at Sonos, bringing experience, inspiration, and invigoration to a team that is in the business of doing big things.* You have designed, shipped, and matured complex product experiences that are both pleasurable and easy to use
You have experience owning large, complex, and often specialized projects
Bachelors degree in a related discipline, such as user experience design, industrial design, HCI, user interface design, graphic design
12+ years of experience in user experience design, preferably with at least some in the IoT or software for hardware space
Deep experience working with software engineers in the Agile process and delivering the detailed specification work needed for complex experiences that balance technical limitations and experience opportunities
Experience and appetite to engage with the tools needed to get the job done, including Figma, Sketch, Zeplin, Abstract, Framer, Flinto, JIRA and Confluence.
Appetite for finding new ways to prototype hardware and software experiences to get at the crux of key problems, mitigate risk, and identify the best experience possible early within a program.
A current portfolio available for viewing demonstrating the detailed work needed to ship products.",4.1,"Sonos, Inc.
4.1","San Francisco, CA",-1,1001 to 5000 Employees,2002,Company - Public,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
1,UX/UI Designer,$159K-$299K (Glassdoor est.),"#TeamNextdoor


Nextdoor is the neighborhood hub for you, your neighbors and the broader local community. Nextdoor's purpose is to cultivate a kinder world where everyone has a neighborhood they can rely on.

Building connections in the real world is a universal human need. That truth, and the reality that neighborhoods are one of the most important and useful communities in our lives have been guiding principles for Nextdoor. Today, neighbors rely on Nextdoor in neighborhoods around the world in the United States, the United Kingdom, Germany, France, the Netherlands, Italy, Spain, Sweden, Denmark, Australia and Canada, with many more to come.

Meet your Future Neighbors


As a Design Lead at Nextdoor, you'll design digital experiences that empower neighbors to build stronger communities, manage a small team and transform how people connect and engage with their local area. In this role, you'll define and deliver new experiences across multiple platforms as well as work cross-functionally to shape the future of the Nextdoor product as we continue to grow.

The Impact You'll Make


We are in the midst of a redesign, and you will have the opportunity to partner and lead the team responsible for changing the tone and tenor of conversations on Nextdoor. If you're civically minded, curious about community design, want the challenge of fast-paced growth, the satisfaction of seeing your design work come to life, and the pride in helping grow a world-class design team, this is the place for you. Please include a link to your portfolio in addition to your resume and cover letter.
You'll envision, design, and ship delightful, user-centered, cross-platform experiences that build the fabric of local communities around the globe.
You'll be involved in all aspects of the product development for a major product area; from strategy, research, prototyping, concept to interaction design, to final QA and code tweaks right before launch.
You'll participate in cross-functional brainstorms, discussions, design reviews and interesting and inspiring design team activities.
What You'll Bring to The House
8-10 years demonstrated experience shipping great mobile products in an agile environment.
3 years demonstrated experience leading and managing teams
Comfort working across the product development spectrum: strategy, ideation, concept work, pixel-level details, and front-end development and implementation.
Fluency with both mobile and responsive web design principles and best practices.
A strong visual design sense and ability to design within, and help define, visual guidelines.
Ability to create rich interactive prototypes with Framer, Origami, or Principle
Familiarity with HTML, CSS, JavaScript, Swift, Java, or Xcode
You're deeply curious about how to empower neighbors to strengthen their communities, and about what makes neighborhoods tick around the globe as we expand our footprint.
BONUS: liberal arts degree and prior experience in urban design
At Nextdoor, we empower our employees to build stronger local communities. To create a platform where all feel welcome, we want our workforce to reflect the diversity of the customers we seek to serve. We encourage everyone interested in our purpose to apply. We do not discriminate on the basis of race, gender, religion, sexual orientation, age, or any other trait that unfairly targets a group of people. In accordance with the San Francisco Fair Chance Ordinance, we always consider qualified applicants with arrest and conviction records.",4.1,"Nextdoor
4.1","San Francisco, CA",-1,201 to 500 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
2,UI/UX Architect (Designer),$159K-$299K (Glassdoor est.),"Description: *
SPODIO is a data-driven sports content provider that develops sportsbook, fantasy sports, and match prediction products. We are currently looking for an experienced UX Architect to fill an urgent role in our San Francisco office. This will be a key role within our newly formed Design Team that will partner closely with fellow subject matter experts to fully reimagine the company’s flagship sportsbook offering. You will be responsible for every aspect of the user experience - the overall flow of the screens, the fields and what information is presented, the actions and interactions that are provided, and the visualizations of the data. In addition, you will identify new opportunities, create and test your design concepts, and ultimately deliver a best-of-breed product to market. If this sounds interesting and you have a deep passion for sports, we would love to hear from you.

Responsibilities:
Work closely with Product Managers and others to define product requirement and specifications for proposed web and mobile initiatives.
Create wireframes, storyboards, and user flows that promote usability and accommodating technical needs in addition to potential source code constraints.
Relentlessly simplify and distill complex processes into intuitive and elegant UIs.
Translate functional objectives into detailed specifications.
Develop personas to facilitate feature design process.
Lead cross-functional design sessions between the Design Team and Business Partners.
Collaborate and share your expertise with other Designers, Product Managers, Engineers, and stakeholders alike.
Qualifications:
A Bachelor’s degree in a design related field or working experience of the equivalent.
5+ years of design experience with an in-depth understanding of fantasy sports, sportsbook, trading, stock, or financial products.
A portfolio of work that demonstrates your ability to create effective user-centered design solutions.
Experience designing native applications for both iOS and android.
Working knowledge of industry standard design software (i.e Sketch, Figma, Adobe CS, Invision, or other UX related tools).
Knowledge of latest UX trends, techniques, and technology.
Keen and exceptional attention to detail with the ability to work both autonomously and as part of a team.
Excellent verbal and written communication skills, with able to clearly articulate your design methodology clearly and persuasively across different audiences and varying levels of the organization
Bilingual in Korean and English preferred, but not mandatory.
Compensation & Benefits:
Competitive salary
Health Insurance for you and your dependents
401(k) retirement plan with company matching up to 4% of employee salary.
Flexible PTO, sick days, and parental leave.
Free drinks and snacks.
MacBook or iMac
Job Type: Full-time

Pay: $120,000.00 - $130,000.00 per year

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Location:
San Francisco, CA 94105 (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Work Remotely:
Temporarily due to COVID-19",-1,Spodio Group,"San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
3,Web Designer,$159K-$299K (Glassdoor est.),"SPODIO is a data-driven sports content provider that develops sportsbook, fantasy sports, and match prediction products. We are currently looking for an experienced Web Designer to fill an urgent role in our San Francisco office. This will be a key role within our newly formed Design Team that will partner closely with fellow subject matter experts to fully reimagine the company’s flagship sportsbook offering. Using data driven decision making you will identify new opportunities, create and test your design concepts, and ultimately deliver a best-of-breed product to market. If this sounds interesting and you have a deep passion for sports, we would love to hear from you.

Responsibilities:
Work closely with fellow designers and others to help define product requirements.
Working from wireframes and documentation, create Hi-fidelity screen and prototypes within a web and responsive web environment.
Conceptualize original ideas that bring simplicity and user friendliness to complex design roadblocks.
Define, design, and implement unique and innovative solutions to improve quality of sportsbook application.
Define and evolve patterns and styles to ultimately create a design system that will be utilized throughout the online ecosystem.
Work closely with Product Managers and others to help define product requirements.
Shape and lead the production process, including revising and preparing assets for delivery.
Qualifications:
A Bachelor’s degree in a design related field or working experience of the equivalent.
A minimum of 2-4 years of design experience with an in-depth understanding of fantasy sports, sportsbook, trading, stock, or financial products.
An excellent design portfolio that demonstrates strong skills in branding, typography, color, illustration, iconography, and animation.
Experience designing in a web and responsive web environment.
A high level of proficiency with industry standard design software (i.e Sketch, Figma, Adobe CS, Invision, or other UX related tools).
Knowledge of latest UX trends, techniques, and technology.
Keen and exceptional attention to detail with the ability to work both autonomously and as part of a team.
Experience with frontend implementation (i.e. HTML, CSS, JavaScript).
Excellent verbal and written communication skills, with able to clearly articulate your design methodology clearly and persuasively across different audiences and varying levels of the organization.
Bilingual in Korean and English preferred, but not mandatory.
Compensation & Benefits:
Competitive salary.
Health Insurance for you and your dependents.
401(K) retirement plan with company matching up to 4% of employee salary.
Flexible PTO, sick days, and parental leave.
Free drinks and snacks.
MacBook or iMac.
Job Type: Full-time

Pay: $90,000.00 - $100,000.00 per year

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Location:
San Francisco, CA 94105 (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
Work Remotely:
Temporarily due to COVID-19",-1,Spodio Group,"San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
4,Sr. Product Designer,$159K-$299K (Glassdoor est.),"About Zenni*
Zenni Optical pioneered the online eyewear business in 2003 to make prescription eyewear affordable and accessible to everyone. Based in Marin County, California, Zenni offers men, women, and children the freedom to express their personal style and individuality through high-quality prescription glasses and sunglasses. With its curated collections and thousands of frames, Zenni has sold over 25 million pairs of glasses since its founding. Zenni is proud to be the Official Eyewear Partner of the Chicago Bulls and the San Francisco 49ers.
Life at Zenni*
Work alongside talented and entrepreneurial people with diverse work and life experience
Feel empowered with your tasks and projects in a flat, collaborative org
Opportunities for growth at a highly successful and financially stable company
Join a team that's passionate about our product and our customers
Be featured with your Zennis in employee photo shoots for marketing materials
Team Description*
The Zenni Product / UX Design team works across departments to maximize the customer experience while achieving business goals. We partner with internal stakeholders to bring new features to life and identify areas of friction for our customers. We plan user research, product architecture, and deliver final interfaces for our digital products. We’re a small, growing team within the larger creative design team.
Role Description*
Zenni is looking for an experienced Senior Product Designer to join our growing Product / User Experience Team. The ideal designer loves all things user experience and has a background designing responsive web sites and applications that delight customers. You will help solve tough design problems, engage industry best practices, and help define internal processes. You will work closely with key cross-functional partners-site merchandisers, creative designers, copywriters and development teams to help carry out e-commerce initiatives and create digital products that lead the online eyewear industry. You will help manage outside vendors and agencies, when needed, and be the bridge between their teams and ours. This role reports to the Director, Design and Brand Strategy and is based in Novato, CA\*

This position will initially be remote but will be based at Zenni's corporate office in Marin County (Novato, CA) after shelter in place orders are lifted.

\*Local Candidates only
Responsibilities*
Collaborate with other team members and stakeholders to improve features and bring new concepts to life.
Gain a deep understanding of the problem (or problems) we’re solving. Help define what is important to focus on for product success.
Translate complex user/business goals into simple, beautiful and user-friendly solutions.
Engage UX best practices, help define internal processes, and evangelize UX and Design thinking throughout the organization.
Create customer flow-charts, wireframes, and interactive prototypes with InVision that represent final
products or layouts.
Create intuitive interfaces that optimize user interaction and experience, based on data.
Help define success metrics for product improvements
Help develop style guide along with a digital asset library to support our Design System Manager.
Stay abreast of competitor products, latest UX trends and best practices.
Communicate design ideas and prototypes to developers.
Interview customers for UX research purposes.
Rapidly iterate on design solutions using appropriate tools like wireframes, interaction flows, user stories, screen specs, personas, scenarios, storyboards and task flows.
Organize and plan user research, including conducting usability testing with mockups and prototypes.
Collaborate with UX Design team on methodology, individual feature designs, internal tools and libraries.
Requirements*
5+ years experience designing for multiple platforms and operating systems.
Proven experience as a UX Designer, UI Designer, Product Designer or similar role.
Strong portfolio of recent work and/or case studies.
Proficient in design software (e.g. Sketch, Invision, Adobe Suite).
Knowledge of HTML/CSS, JavaScript and eCommerce experience a plus
Problem-solving aptitude.
Ability to handle a number of projects simultaneously and work well in a deadline driven environment.
Highly skilled in fostering a collaborative work environment.
Excellent listener, effective communicator with strong presentation skills.
Design experience with both web and mobile platforms
Ability to effectively communicate with developers to implement and realize the design vision
Zenni Offers*
Competitive compensation and comprehensive 100% paid employee health benefits
401k with company match
Annual employee eyeglasses stipend
Free breakfast and catered lunch daily
Free onsite parking
Great work-life balance
Job Type: Full-time

Benefits:
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Detail-oriented -- would rather focus on the details of work than the bigger picture
Innovative -- prefers working in unconventional ways or on tasks that require creativity
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
Outcome-oriented -- results-focused with strong performance culture
Team-oriented -- cooperative and collaborative
Company's website:
https://www.zennioptical.com/
Company's Facebook page:
https://www.facebook.com/ZenniOptical/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",3.0,"Zenni Optical
3.0","Novato, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
5,Senior UX/UI Designer,$159K-$299K (Glassdoor est.),"About Study.com

We are a profitable, fast growing technology company on a mission to make education accessible. Our focus is to simplify and accelerate learning and help people unlock opportunities for a better future.

Study.com helps over 30 million students and teachers each month improve grades, gain career skills and earn college credit through our video-based micro-learning platform. We’ve built our platform from the ground up, leveraging data and technology to make the entire learning process simple and engaging.

As a fast growing, independent company, our employees have a direct impact on company direction and results. We are looking for passionate, talented individuals to join our team, so we can have an even bigger impact towards our mission.

We are located in the heart of downtown Mountain View, just a few steps from the Caltrain station. We only hire top talent, so those who pass our rigorous interview process will find themselves as part of one of the brightest and most innovative teams in Silicon Valley.

We have a culture of social responsibility. As we continue to generate profits, we give back to the community through our Working Scholars scholarship program that helps hundreds of low-income workers in the Bay Area earn a bachelor’s degree at no cost and achieve economic and career mobility. We also donate to charitable organizations that help provide open access to information and education throughout the poorest regions of the world.

Study.com was recently ranked as an Inc. Best Place to Work! Come join us on our mission and make a difference.

About the Senior UX/UI Designer Position

Study.com is looking for an experienced Senior UX/UI Designer that can provide mentorship for a team of designers as well as be a hands-on contributor in an extremely fast-paced agile environment. You strive to create world-class user experiences that balance the needs of the user while optimizing for key business metrics like conversion and retention. The ideal candidate will thrive on seeing the product continually iterate into something our users can’t wait to get their hands on and refuse to let the “perfect” be the enemy of the shippable. You must be comfortable using data to validate design decisions and have experience with qualitative and A/B testing. You should have a clean sense of design and enjoy creating elegantly simple user experiences from otherwise complex workflows.

We are looking for a Senior UX/UI Designer with an outstanding portfolio and at least 8 years designing for web and mobile. You should have experience with all aspects of UX design from user research and persona creation, to information architecture, journey mapping and process flows, to interaction design and prototyping.

This is not a UX & Research only position. You must also be experienced at doing beautiful and clean visual design. Please provide a portfolio featuring examples of UX and visual design work to be considered for this position.

This is a great opportunity for problem solvers, who are comfortable working with ambiguity and enjoy the process of creative exploration and building functional prototypes. As a creative, tech-savvy designer, you will have the opportunity to make a real impact on the business and increase your knowledge of conversion and usability testing and end-to-end user experience design.

Responsibilities

Work collaboratively with engineers, product managers, executives, and other designers to build scalable solutions to improve the user experience
Create deliverables such as process flows, wireframes, mockups and functional prototypes to effectively communicate design strategies and detailed interaction behaviors
Mentor a high performing team of UI/UX designers and developers
Navigate a fast-paced Agile environment requiring independent self-direction with an aptitude for team collaboration and open communication
Contribute to the product roadmap with ideas for evolving and iterating the user experience based on quantitative data and user research
Work with the product owners and cross-functional teams to come up with test options and utilize A/B testing to validate design solutions
Designing landing pages and site interactions to segment users, effectively convey product benefits and drive trial conversion

Requirements

8+ years of experience in UX/UI Design
Advanced skills in interaction design, information architecture, usability evaluation, and user research
Strong visual design skills
Experience building rich, interactive prototypes or web applications using HTML, CSS and JavaScript
Proficiency with Adobe Creative Suite, Invision, Figma, and other prototyping and visualization software
Ability to quickly grasp goals and requirements from light specifications
Experience with conversion testing and landing page/funnel optimization
BA/BS degree in Design, HCI, CS, or a related field or equivalent practical experience

Why work for Study.com?

Help make education accessible to people who need it
Enjoy a fun, casual and collaborative working environment
Join a profitable and financially stable company
Help guide company decisions and direction
See results of your work in days, not years
Have your work impact 30+ million students and teachers each month
Work with other talented and passionate team members

Benefits:

Competitive compensation
401(k) retirement plan with employer matching
20 days of flexible paid time off annually (increases to 30 days over 5 years)
Additional 10 paid holidays annually
Comprehensive medical, dental and vision plans
Fully subsidized Caltrain pass
Tuition reimbursement and gift matching programs
Stocked kitchen and beverages provided
Company sponsored gym memberships
Happy hours and many fun company events to celebrate accomplishments

Study.com provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, veteran or disability status. In addition to federal law requirements, Study.com complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. Additionally, qualified applicants with arrest and conviction records will be considered for the position in accordance with applicable state and local laws.

Powered by JazzHR

jI21kXFDi0",3.0,"Study.com
3.0","Mountain View, CA",-1,51 to 200 Employees,2002,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,-1
6,Senior UX Designer,$159K-$299K (Glassdoor est.),"Panasonic – Senior UX Designer

Every moment of every day, people all over the world turn to Panasonic to make their lives simpler, more enjoyable, more productive and more secure. Since our founding almost a century ago, we’ve been committed to improving peoples’ lives and making the world a better place–one customer, one business, one innovative leap at a time. Come join our journey.

Click here to learn more about how Panasonic is creating a better life, a better world.

Watch this video to see how our employees are shaping the technologies that move us.

What You’ll Get to Do:

As a Senior UX Designer you will work with a small team of designers and engineers to build new mobile apps, services and a data platform from the ground-up. You will solve complex problems and craft intuitive, beautiful, and useful experiences.

In addition to executing design fundamentals flawlessly, you will help create workflows and processes for a dynamic, fast-moving, agile company to ensure the creation of high quality, high performance, scalable software. You will work equally between engineering, product management and program management to drive alignment.
Solve complex problems and create interactive, engaging experiences
Demonstrate and apply an expert understanding of human behavior
Explore various approaches to solve identified user pain points
Craft a visual design system that appeals to user expectations and values
Communicate recommendations, rationalize design decisions, and advocate for users’ needs.
Contribute to the product vision and strategy through storytelling and framing problems for a diverse audience of stakeholders, helping them envision the opportunities.
Articulate user journeys with scenarios, storyboards and presentations, low- and high-fidelity mocks, detailed interaction specs, and prototypes to effectively communicate interaction and design ideas.
Raise the bar for product quality across our products by advocating for user centered product roadmaps, investments in last-mile refinement and polish, and insights driven by user research.
Define and guide team UX processes, methods, and culture to drive collaboration and innovation.

What You’ll Bring:

Education & Experience:
Bachelor’s Degree in design, Engineering or related field
7 + years’ experience designing and shipping software design experiences.
Experience collaborating with Product Management and Engineering counterparts and experience working with collaborators across time zones.
Experience partnering with UX Research to amplify research and design impact.
Able to manage complexity to drive clarity and build bridges across teams and within external partnerships

What We Offer:
Competitive compensation package
Comprehensive benefits
Pet Insurance
Paid Parental Care Leave
Employee Referral Program
Educational Assistance
Flexible Work Program
Volunteer time Off
Casual Dress Code
Total Well Being Program
Panasonic is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity, sex, sexual orientation, national origin, disability status, protected veteran status, and any other characteristic protected by law or company policy. All qualified individuals are required to perform the essential functions of the job with or without reasonable accommodation. Pre-employment drug testing is required for safety sensitive positions or as may otherwise be required by contract or law. Due to the high volume of responses, we will only be able to respond to candidates of interest. All candidates must have valid authorization to work in the U.S. Thank you for your interest in Panasonic Corporation of North America.

#LI-Remote
#LI-DS1",3.6,"Panasonic Corporation
3.6","Palo Alto, CA",-1,10000+ Employees,1918,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),-1
7,Product Designer,$159K-$299K (Glassdoor est.),"Company Description

Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect hundreds of millions of people with the widest selection of delightful, surprising, and—most importantly—affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 160 countries around the world discover new products. For our over 1 million merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.

We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.

Job Description

At Wish, designers trust their instincts to ship often and early, blend their designs with analytical thinking to touch every aspect of the business, and engage a multidisciplinary approach to design simplicity into all of our products.

A bit about our team

Our team is small and nimble, and growing quickly. We design and release new features at a rapid pace to ensure that designers make an impact immediately. Each designer has the opportunity to work on a number of individual projects from scratch to finish. We’re looking for experienced designers who are passionate about serving the often neglected demographic of lower-income, value-conscious consumers by designing better experiences for our sellers. All designers on the team touch every dimension of the seller experience and have an influential voice in determining the future business and design strategy at Wish. We are challenged by leadership to disrupt both existing work processes and thriving business models, to envision and build the future of affordable shopping.

What you'll be doing:
Partner with Product Managers, Engineers, Data Scientists, to define problems & goals, map user flows, prototype interactions, and launch new product features and services.
Build a research framework for your projects.
Apply the full breadth of your design skillset through copywriting, visual design, user research, and interactive design.
Illustrate and conceptualize marketing materials for our global sellers to be successful in our platform.
Give and solicit feedback from designers and cross-disciplinary partners.
Passionate about building and maintaining design systems.
Executive in a fast-paced environment with ambiguity.
Qualifications
BA/BS degree in Design (e.g. interaction, graphic, visual communications, product, industrial), HCI, or a related field or equivalent practical experience
Have cross-platform design experiences (Web, Android, iOS, emails, print)
Strong UX/UI/visual portfolio: e.g. showcasing thoughtfully designed, painstakingly crafted experiences with depth and clarity, inclusive of insights gained from testing and shipping
3+ years of experience with end-to-end product design
Excellent communication skillsHave shipped product
Have contributed as a design advocate and a strong collaborator with product managers and engineers
#LI-BD1

Additional Information

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.

Individuals applying for positions at Wish, including California residents, can see our privacy policy here.",3.3,"Wish
3.3","San Francisco, CA",-1,501 to 1000 Employees,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1
8,Freelance UI/UX Designer,$159K-$299K (Glassdoor est.),"SUMMARY OF POSITION

The UI/UX Designer is an integral member of the Creative Department (who collaborates closely with the Technology + Production teams), primarily responsible for crafting unique, captivating and intuitive visual designs for a variety of digital experiences and interfaces. The Visual UI/UXDesigner is a storyteller and problem solver who proposes creative solutions, drives the design phase and infuses innovative thinking into every stage of the creative process. The Visual UI/UX Designer will collaborate with cross-functional teams and external partners to bring fun and immersive digital experiential projects to life.

DESIRED SKILLS AND EXPERIENCE

EDUCATION
Bachelor's Degree in Graphic Design, UI/ UX design, Product Design, or similar discipline.
EXPERIENCE
4-10 years of experience as a UI/UX Designer, interaction designer, or similar role
Strong portfolio of creative work to demonstrate design for digital applications, mobile/web or interactive design work.
ESSENTIAL KNOWLEDGE, SKILLS AND ABILITIES
Expertise in Adobe CC (Photoshop, Illustrator, InDesign, etc.), proficiency required.
Experience in design prototyping tools (Adobe XD, Sketch, Figma, etc.)
Experience designing responsive websites, apps and digital products.
Experience designing for various platforms (mobile, web, broadcast, VR/AR, touchscreen, etc.).
Working knowledge of HTML, CSS, JavaScript is preferred, but not required.
Ability to communicate digital solutions and user journeys to a variety of audiences (internal, client, vendor, etc.) to ensure understanding and buy in.
Ability to collaborate and contribute to client deliverables including working in collaborative decks with the project team (Google Slides, Keynote, Powerpoint, etc.).
Experience providing art direction to graphic + motion designers that helps elevate the work.
Excellent communication + presentation skills that continuously add value to internal and external conversations, vendor relationships and pitches.",3.6,"On Board Entertainmet
3.6","San Francisco, CA",-1,51 to 200 Employees,1995,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
9,Jr UX Designer,$159K-$299K (Glassdoor est.),"WHO WE ARE:

Founded in 2012, BirdEye is headquartered in Silicon Valley and led by alumni from Google, Amazon, and Yahoo. In 2019, BirdEye was ranked #1 in Online Reputation Management and #60 in the “100 Best Software Companies” in the world by G2 Crowd. BirdEye is backed by Salesforce founder Marc Benioff, Yahoo co-founder Jerry Yang, Trinity Ventures and World Innovation Lab.

BirdEye is the leading customer experience management and business reputation platform, reimagining the way reviews are used to better understand customers, improve operations and increase revenue. With BirdEye, companies can put customers at the core of every business decision, turning feedback into insights, insights into action, and customer happiness into revenue.

To learn more, please visit: https://birdeye.com

WHAT YOU’LL DO:

You will join a forward-thinking creative team who understands the pulse of current design trends. You will act as the user's advocate when developing creative solutions to complex workflows. ""Design"" and ""Customer delight"" is embedded in every step of our product cycle. BirdEye has a design first approach that brings consumer grade design and web scale engineering together to create amazing user experiences.Come join our exciting team as we redefine Customer Experience Management. Rapid iteration, collaboration, and passion is how we drive innovation within BirdEye.

Responsibilities
Collaborate daily with UX Designers, Product Managers and Engineers
Design and craft pixel-perfect interfaces with a high attention to detail
Create detailed UI specifications
Expand upon existing template designs, UI components, and style guidelines
Design with an awareness and understanding of browser sizes, device capabilities, and product functionality
Work closely with your developers to ensure your designs are built to your specifications
Requirements
BS in Human-Computer Interaction or related field or work experience as a designer
Body of design work demonstrating strong design process, and interaction and visual design skills
Experience with design tools like Sketch, Zeplin, Flinto, Principle, Marvel, InVision, etc.
Strong grasp of modern app design patterns
Impeccable attention to detail
A great attitude and desire to work in a team environment
Benefits

WHY YOU’LL JOIN US:

As relentless innovators, we make excellence a habit. We know that building beautiful things means shattering walls, so we’re bold, scrappy, and love a good challenge. We’re obsessed with our customers. We put their happiness at the center of every decision, and we view our customers’ weaknesses and successes as our own.

Working at BirdEye means being part of a tight-knit family that helps you succeed and loves to celebrate with you. We find strength in diversity and inclusion, so we strive to find different points of view and expect everyone to represent their authentic self at all times.

Benefits
A competitive salary
A rich benefits package including medical, dental, and vision
401(k) plan
Stocked kitchen complete with coffee, snacks, and catered lunch every Friday
Monthly team building activities
Abundant opportunities that come with a dynamic and fast-growing organization!",4.5,"BirdEye
4.5","Palo Alto, CA",-1,201 to 500 Employees,2012,Company - Private,Internet,Information Technology,$25 to $50 million (USD),-1
