,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Analyst (Marketing),$53K-$102K (Glassdoor est.),"*Based in San Francisco, CA or 100% Remote (based in the U.S.)*

NerdWallet is seeking a data-driven and analytical professional for our Data Analytics team. This individual will focus on providing digital data solutions and innovations to help grow our business. Successful candidates will partner with Marketing teams to uncover data-driven insights, and will be expected to understand and contribute to all aspects of NerdWallet's data. Ideal candidates will be passionate, flexible and interested in the power of FinTech to improve consumers' lives. We are looking for analytical nerds across multiple levels from Analyst to Senior Analyst, so if you feel like this is an exciting opportunity we would love to hear from you.

Where you can make an impact:
Be a NerdWallet Marketing data expert: know the ins and outs of our database, consisting of both internal and third party data, including availability, provenance, reliability and relationships between data sets. Through SQL, you will process, transform, merge and report our data.
Drive highly visible analytic projects for NerdWallet CRM & Marketing such as multivariate testing, attribution modeling, and media mix modeling.
Partner with marketing and CRM to understand business strategy, challenges and goals, and discover areas for opportunity.
Develop and optimize methodologies to measure effectiveness of campaigns across multiple channels like SEM, Social, OTT, TV, OOH, Native and Email.
Deliver deep-dive analyses of mid- or post-campaign performance as well as ad-hoc requests to put forward hypotheses and recommendations for future initiatives and programs.
Serve as a leader in defining metric calculations; partner with BI Engineers on development of self-serve dashboards to monitor KPIs and success metrics.
Collaborate cross-functionally with sister analytics teams at NerdWallet to leverage shared platforms, best practices, insights and innovations.
Surface insights and present results to business leaders using a variety of tools – Tableau/Looker, Office Suite slides, spreadsheets, etc.
You are:


Highly productive: Work independently on a day-to-day basis. This role is intended for somebody who will take meaningful responsibility and initiative for our business metrics.
Structured thinker: Understand the key drivers to our business and identify how to modify them to improve business metrics.
Consumer-first and positive thinker: You're motivated to work hard in a fast-paced environment – business decisions here can connect and impact millions of users.
Expert multi-tasker and prioritizer: Experience (and preferably an enjoyment of) balancing numerous different priorities and demands.
Positive and adaptable: Demonstrates flexibility and constructive attitude in face of shifting business needs and personal responsibilities
Your experience:


Day-to-day familiarity with writing efficient SQL to solve complex problems and manipulate big data sets (SQL experience required, experience with Python or other scripting languages is a plus)
Solid understanding of multivariate testing, attribution modeling, media mix modeling, lift analysis, and customer segmentation highly preferred
Strong communication skills and the ability to explain complex analyses to both technical and non-technical audiences
Experience with BI tools (Tableau, Looker, Qlikview, etc.), CRM, and marketing automation platform
2 - 4+ years of experience in a quantitative role, preferably at a consumer technology company
BA/BS degree, Masters a plus- preferably in a quantitative field like Math, Statistics, or Economics
What we offer:


Work hard, stay balanced (Life's a series of balancing acts, eh?)
100% paid premiums for medical, dental and vision for employees and their dependents
Rejuvenation Policy – Flexible Time Off + 12 holidays
New Parent Leave for employees with a newborn child or a child placed with them for adoption or foster care
Mental health support through Ginger.io
Paid sabbatical for Nerds to recharge, gain knowledge and pursue their interests
Health and Dependent Care FSA and HSA with monthly NerdWallet contribution
Weekly Virtual Bootcamp, Yoga and Mindfulness Meditation sessions
Monthly Wellness Stipend and Cell Phone Stipend
Have some fun! (Nerds are fun, too)
Nerd-led group initiatives – Intramural Sports, Employee Resource Groups for Parents, Diversity and Inclusion, Womxn, LGBTQIA, and other communities
Hackathons, Happy Hours and team bonding across all teams and departments
Company-wide events like Little Nerds Day (aka bring your kids to work day, even if you're remote!) and our annual Charity Auction
Lifestyle (Be your best self - we'll take care of the details)
Our Nerds love to make an impact by paying it forward – Donate to your favorite causes with a company match
Work from home equipment stipend and co-working space subsidy
Commuting stipend and catered breakfast, lunch and onsite barista for SF based Nerds
Anniversary recognition program – choose from different items and experiences
Plan for your future (And when you retire on your island, remember the little people)
401K with company match
Annual Enrichment Stipend for learning and development
Be the first to test and benefit from our new financial products and tools
Access to Rocket Lawyer for online legal support and resources
NerdWallet is committed to pursuing and hiring a diverse workforce and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of any characteristic protected by applicable federal, state or local law. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

#LI-KL1",3.4,"NerdWallet Inc.
3.4","San Francisco, CA",-1,201 to 500 Employees,2009,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1
1,Transition Specialist,$53K-$102K (Glassdoor est.),"JVS is looking for a High School Career Transition Counselor (Transition Specialist)

What will you do? As part of the High School and Bridge Program you will partner with select San Francisco high schools to provide industry aligned, work-based learning activities that support students’ current and future educational and employment success. You will accomplish this with the following initiatives:
· Support high school students in preparing for, and obtaining, competitive employment, entry into career pathway training and internship programs
· Collaborate with existing employer/training partners; research, identify and establish relationships with new employer/training partners that meet the needs and interests of program participants and the department as a whole
· Support program teammates with other program activities: outreach, enrollment, skill development workshops, remote career exploration, and internships
· Collaborate with school-site administration, teachers, staff and other stakeholders to implement programming at the site, remotely, and support the positive school community

What do we need from our applicants? A passion for the JVS mission, and:
· Excellent written communication skills
· Excellent youth engagement and relationship management skills with school and employer/training partners
· Strong decision making and problem-solving skills
· Able to utilize an intersectional racial equity lens while working in a multi-cultural environment with diverse staff, partners, and clientele
· Strong organizational skills, able to manage priorities, meet deliverables and deadlines
· Able to work independently, as part of a team, and flexible to meet evolving needs of participants, partners, and program
· Strong computer proficiency including Microsoft Office Suite, and Google Drive
· Experience supporting youth in learning about jobs/careers and obtaining competitive employment or entry into career training programs
· Experience working with youth and maintaining appropriate boundaries
· Experience facilitating engaging youth workshops both in-person and remotely

It would also be great if you were:

· Familiar coaching and supporting students while using youth development practices
· Familiar with Dropbox, Slack, and Salesforce
· Knowledge of youth training/employment landscape in San Francisco and the Bay Area,
· Experience outreaching to, and securing, career exploration opportunities with employers
· Experience organizing events and large scale activities with multiple partners

Want to Apply? Please email a cover letter and resume to recruit@jvs.org; Please use Transition Specialist in the subject line. Principals only, no phone calls, please.

JVS is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, ethnic background, religion, gender, gender identity, gender expression, sexual orientation, age, national origin or disabilities. Culturally and racially diverse applicants encouraged to apply. Please let us know if you need accommodations or auxiliary aids for the interview process.

Are there benefits? This is a full-time, non-exempt position eligible for benefits, which include, but are not limited to: medical, dental, vision, 403B, four weeks of vacation, sick leave, most federal and Jewish holidays.

Who are we? Founded in 1973, Jewish Vocational Service (JVS) transforms lives by helping people build skills and find jobs to achieve self-sufficiency. JVS is a non-sectarian, nonprofit organization. For more information about the agency, and a full job description for this position, please visit our website at jvs.org.",3.5,"Jewish Vocational Service
3.5","San Francisco, CA",-1,51 to 200 Employees,1973,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1
2,Title Clerk,$53K-$102K (Glassdoor est.),"Your role is to ensure that our DMV transactions are fully supported throughout the Shift purchasing process. Our ideal candidate is someone with a background in processing automotive documents from financing to DMV reports. We are constantly improving our processes at Shift and need individuals who are motivated by a fast pace environment where creativity and innovation is highly encouraged.
What you’ll do: *
Prepare and process title work for used and wholesale vehicle sales with precise accuracy.
Audit / troubleshoot DMV paperwork to meet state requirements
Manage vehicle sale documentation, including title & transfer information, registrations, etc.
Ensure retail transactions are processed timely.
Provide timely and accurate reports as required
File Release of Liability
Sync on process with remote teams to improve efficiency
Update CRM with inventory control information
What we’re looking for: *
Experience with vehicle ownership transfers, including out-of-state.
Thorough knowledge of DMV laws, regulations, processes and forms necessary to facilitate vehicle transactions
Experience using DMV processing services (AVRS, DMVdesk, etc)
Ability to read and interpret documents such as sales agreements, tax and title documents, and procedure manuals
A keen eye for detail, thoroughness is encouraged.
General accounting knowledge
Organized, trustworthy, likeable, well-spoken
Savvy and smart; we expect you to constantly be thinking about how we can improve our process
Nice to haves: *
Nice to have previous automotive dealership experience in a similar role; deep understanding on all aspects of finance and paperwork related to delivering vehicles to customers.
Experience with accounting software (NetSuite, Quickbooks, etc.)
Knowledge of vehicle financing workings
Job Type: Full-time

Pay: $22.00 per hour

Benefits:
401(k)
Dental Insurance
Health Insurance
Life Insurance
Paid Time Off
Referral Program
Vision Insurance
Schedule:
Monday to Friday
On Call
Overtime
Weekends
Experience:
Title Clerk: 1 year (Preferred)
automotive dealership: 1 year (Preferred)
Work Location:
One location
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",3.3,"Shift Technologies, Inc.
3.3","South San Francisco, CA",-1,51 to 200 Employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
3,Quality Assurance Specialist,$53K-$102K (Glassdoor est.),"Every year, 10,000 people die in alcohol-related car crashes. At BACtrack, we are dedicated to providing tools that allow people to drink more responsibly. Our products save lives, and now we need YOUR help.*
The Position
*
We are seeking a talented person to join our Product Analytics team. You will be evaluating product performance, confirming product quality, assessing returned product, and meticulously entering and recording all data. You will also provide feedback on product performance to our team on a regular basis. This position is a critical role as you will be collecting data to maintain the integrity of product performance for our customers. This position requires attention to detail, impeccable data entry, clear communication, ability to follow directions, and excellent organizational skills.
*
60% of the role is testing received products. You will be testing customer products, reseller returned products, and new products received. The testing process requires the use of breath alcohol simulators and computer equipment.
*
25% of the role involves evaluating the tested product to make a determination on the state of the product/test results, and correctly entering them into a data storage spreadsheet.
*
15% of the role involves testing products for research to understand product behavior from a performance and development standpoint.
*
All our testing is done in our office in the financial district in San Francisco (Sansome at Broadway). This is an office environment, not a warehouse or lab environment.
*
You will be a key team member of our Product Analytics team.
*
Why Consider BACtrack?
*
We are a small, agile team that empowers its employees to take ownership of their work and make decisions that have a real impact on the company.
*
There is potential for career growth as the role and the company grows. One of our former shipping associates became Product Manager for a BACtrack App.
*
We design exciting products -- smartphone breathalyzers, wearable alcohol detectors, and more -- and your feedback will shape future products.
*
BACtrack products are featured in major retail stores including Best Buy, Walmart, Costco, Walgreens, CVS, and Rite Aid. The Quality Assurance Specialist position ensures that we are providing these partners, and all our customers, with products that meet our high standards of performance.
*
You will report to our Analytics Manager and have daily interaction with our Vice President of Operations.
*
The ideal candidate is ready to roll up their sleeves and work hard, and will enjoy meeting the challenges of our fast-growing company.
*
Key Requirements for this Position
*
Strict data collection standards - you thoroughly check your work and are highly invested in your data
Careful attention to detail - the numbers really matter!
Effective written and oral communication skills
Meticulous data recording - you enjoy data entry and playing with spreadsheets!
Fast learner and good at taking both verbal and written directions
Bachelor or Associate Degree required
Need to be able to lift 35 lbs
*
This position offers competitive salary + PTO + Medical/Dental/Vision + employer contribution to retirement program + potential for annual bonus.
*
We look forward to meeting you!
Job Type: Full-time
Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Retirement Plan
Vision Insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We are exercising social distancing. Personal protective equipment is provided.

Experience:
Quality Assurance: 2 years (Preferred)
Education:
Bachelor's (Required)
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Team-oriented -- cooperative and collaborative
Company's website:
www.bactrack.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,BACtrack,"San Francisco, CA",-1,-1,-1,-1,-1,-1,-1,-1
4,Field Operations Operator California,$53K-$102K (Glassdoor est.),"Title: Field Operations Operator*
Department: Operations*
Reports To: Field Operations Director*
Would you describe yourself as:
An independent problem solver who enjoys working in teams?
Would you describe yourself as a “trust and verify” person?
Is your communication style factual and to-the-point?
Is your work-style methodical and systematic? Some might say a creature of habit?
Finally, do you measure twice and cut once when executing on a project? Do details and thoroughness matter to you?
At Lottery.com we’re assembling a team of hardworking go-getters like you, who are resourceful doers and crave creative problem-solving. Founded in 2015 and based in Austin, Texas, Lottery.com is creating the world’s number one digital lottery brand. We’re bringing digital sales of official lottery games to the world and launching global charitable sweepstakes. .

This is a fantastic opportunity to earn some good supplemental income while working for a fast growing company with huge potential. In this role, reporting to the Field Operations Director, we’re seeking part-time independent team members to execute the processing of official U.S. lottery tickets.

Responsibilities:
Process Lottery.com’s user orders for the operations department with extreme attention to detail including printing, filing, and inventory management.
Maintain order tracking and sales spreadsheets.
Effectively communicate and resolve problems related to Field Operations by informing the appropriate people of any issues.
Remotely support other operations controllers as necessary.
Requirements:
Track record of demonstrating grit, rigor, curiosity, teamwork, ownership and integrity.
Ability to work from home and travel short distances Tuesday through Saturday, or similar, and on shifts that suit operations, as the needs of the business dictate, typically 2-3 hour shifts on a fixed 4 day schedule.
Ability to pass a background check.
Personality Traits We Admire\*

Grit: Resilient marathoners who finish what they start and love tackling problems of all sizes. We take critical feedback and push through to get the job done.

Rigor: Data driven, analytical and exhaustive in decision making. We take in the evidence, integrate information from multiple sources quickly, draw conclusions and take actions - quickly.

Collaboration: We leave our egos at home, we challenge each other and we work together to find the best solutions, every day, day in and day out.

Ownership: We sign up for the hard stuff and take extreme ownership to see it through. We make lemonade out of lemons when we have to and don’t let attitude get in the way of getting it done.

Curiosity: Most of us dork out over non-work related topics at a ridiculous level of detail, because that’s how we’re wired. We’re naturally inquisitive, ask tough questions and aren’t afraid to ruffle feathers to find better answers.

Honesty: We’re transparent and honest because that’s the right way to treat other people. Integrity is the basis of trust, and trust is everything when you’re creating the future together.

Job Type: Full-time

Pay: $16.07 - $16.08 per hour

Location:
San Francisco, CA (Required)
Work authorization:
United States (Required)
Work Remotely:
No",5.0,"Lottery.com
5.0","San Francisco, CA",-1,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
5,Director of Business Operations,$53K-$102K (Glassdoor est.),"About the Position: *
The Director of Business Operations is responsible for identifying, prioritizing, investigating, and mitigating risks that surface within Tenderloin Housing Clinic’s programs. The Director of Business Operations looks to identify and prioritize emerging external risks as well as lead investigations to understand these risks and conduct proactive risk investigations to provide critical insights to our internal stakeholders. We're seeking someone with a passion for uncovering risks and easily adopting an independent perspective when making evaluations.
About Tenderloin Housing Clinic: *
THC is a non-profit housing, support services, legal, and advocacy organization. THC provides housing and comprehensive services that help disenfranchised low-income people in San Francisco increase stability. THC’s Mission and Core Values are key to successfully supporting our clients.
Responsibilities: *
_Leadership and Management_
Conduct regularly scheduled meetings, supervisions, and trainings to motivate staff for success, promote team building, create professional and technical skill development, and establish and maintain effective working relationships.
_Strategic and Financial Oversight_
Identify risks that prevent THC from accomplishing its Mission and work with the Deputy Director to mitigate risks through implementation of process improvements, internal control processes, and contingency planning.
Lead and/or assist in the development of uniform policies, procedures, methods for oversight, short-term objectives, and long-range goals to improve the agency, as assigned.
_Administration and Operations _
Perform work on program proposals associated with Grants, Requests for Qualifications (RFQ), Requests for Proposal (RFP), and Notices of Funding Availability (NOFA), as assigned.
For a more detailed description of responsibilities and to express interest in this opportunity, please follow this link: http://www.thclinic.org/careers/details.php?160 .
Requirements: *
BA/BS degree in Business or related field required; JD degree or MA/MS degree in Public Administration, Business Administration, or related field strongly preferred.
Must have a minimum of 5 years of experience being responsible for management and operations*.*
Job Type: Full-time

Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Parental leave
Professional development assistance",2.6,"Tenderloin Housing Clinic
2.6","San Francisco, CA",-1,201 to 500 Employees,1980,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),-1
6,Medical Records Clerk,$53K-$102K (Glassdoor est.),"Full Time*
Monday-Friday 8:30 am to 5 pm*
General Purpose *
The primary purpose of this job position is to maintain resident medical records and health information systems in accordance with current federal and state guidelines as well as in accordance with our facility’s established privacy policies and procedures.
Administrative Functions *
• Receive and follow work schedule/instructions from your supervisor and as outlined in our established policies and procedures.

• Assist in organizing, planning and directing the medical records department in accordance with established policies and procedures.

• Assist the Medical Records/Health Information Consultant as required.

• Maintain minutes of meetings. File as necessary.

• Develop and maintain a good working rapport with inter-department personnel, as well as other departments within the facility, to assure that medical records can be properly maintained.

• Assist in recording all incidents/accidents. File in accordance with established policies and procedures.

• Retrieve resident records (manually/electronically). Deliver as necessary.

• Files information such as nurses’ notes, resident assessments, progress notes, laboratory reports, x-ray results, correspondence, etc., into resident charts.

• Collect, assemble, check and file resident charts as required.

• Assist MDS Coordinator in scheduling assessments in accordance with current facility and OBRA guidelines.

• Ensure incomplete records/charts are returned to appropriate departments or personnel for correction.

• Assist in developing procedures to ensure resident records are properly completed, assembled, coded, signed, indexed, etc., before filing.

• Establish a procedure to ensure resident charts/records do not leave the medical records room except as authorized in our policies and procedures.

• Maintain a record of authorized information released from charts/records, i.e., type information, name of recipient, date, department, etc.

• Abstract information from records as authorized/required for insurance companies, Medicare, Medicaid, VA, etc. in accordance with current Privacy Rules.

• Index medical records as directed by the medical records/health information consultant.

• Maintain various registries as directed including register for admission and discharge of residents. • Transcribe and type reports for physicians as necessary.

• Collect charts, assemble them in proper order, and inspect them for completion.

• Pick up and deliver resident medical records from wards, nurses’ stations, and other designated areas as necessary.

• Batch resident information into the computer and retrieve resident demographic information as appropriate or as instructed.

• Answer telephone inquiries concerning medical records functions. Prepare written correspondence as necessary.

• Retrieve medical records when requested by authorized personnel (i.e., physicians, nurses, government agencies and personnel, etc.)

• Assure that medical records taken from the department are signed out and signed in upon return to the department.

• File active and inactive records in accordance with established policies.

• Index medical records as directed.

• Agree not to disclose assigned user ID code and password for accessing resident/facility information and promptly report suspected or known violations of such disclosure to the Administrator.

• Agree not to disclose resident’s protected health information and promptly report suspected or known violations of such disclosure to the Administrator.

• Report any known or suspected unauthorized attempt to access facility’s information system.

• Assume the administrative authority, responsibility, and accountability of performing the assigned duties of this position.
Education and/or Experience* Must possess, as a minimum, a high school diploma or GED. Must be able to type a minimum of 45 words per minute and use dictation equipment. A working knowledge of medical terminology, anatomy and physiology, legal aspects of health information, coding, indexing, etc., preferred but not required. On-the-job training provided in medical record and health information system procedures. Must be knowledgeable of medical terminology. Be knowledgeable in computers, data retrieval, input and output functions, etc. *Language Skills* Must be able to read, write, speak, and understand the English language. Ability to read technical procedures. *Mathematical Skills* Ability to apply concepts such as fractions, percentages, ratios and proportions to practical situations.
Job Type: Full-time

Pay: $18.00 - $22.00 per hour

Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Paid Time Off
Professional Development Assistance
Vision Insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Commission Pay
Experience:
Medical Records: 1 year (Preferred)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
High stress tolerance -- thrives in a high-pressure environment
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Outcome-oriented -- results-focused with strong performance culture
Stable -- traditional, stable, strong processes
People-oriented -- supportive and fairness-focused
Company's website:
www.marinpostacute.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Marin Post Acute,"San Rafael, CA",-1,51 to 200 Employees,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
7,Physcial Therapist Assistant,$53K-$102K (Glassdoor est.),"Hospice by the Bay set the standard for hospice in the U.S. by emphasizing the role of the patient in making important medical decisions. Our spectrum of home-based services now includes Skilled Home Health Care, Palliative Care, Adult Hospice Care and Pediatric Care. Our team approach strives to address practical, social, emotional and spiritual aspects of care, with the goal to maximize quality of life for our patients, caregivers and families.

We are seeking a Physical Therapist Assistant in the San Francisco area working for our Skilled Home Health line of service. The Physical Therapy Assistant assists in the implementation of the rehabilitative plan of care under the direction and supervision of a qualified physical therapist in accordance with the Plan of Care.

Essential Duties & Responsibilities include (but are not limited to):
Under the supervision of the physical therapist, assists in evaluation and development of the rehabilitative plan of care and in periodic re-evaluation as indicated.
Completes visits in a timely manner and in accordance with agency policies.
Promotes personal safety and a safe environment for clients and coworkers.
Maintains confidentiality in all aspects of the job.
Documents care of patient on appropriate forms.
Performs job in compliance with agency policies and procedures and professional and community standards.
Education/Experience:
One year's experience in a health care setting preferred.
Certificates, Licenses, Registrations:

Current California license in Physical Therapy Assistant.
Current California Driver’s License and automobile insurance that meets State of California requirements, if driving a car.",3.4,"Hospice by the Bay
3.4","San Francisco, CA",-1,201 to 500 Employees,1975,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1
8,Operations Manager,$53K-$102K (Glassdoor est.),"Crunch Fitness - we are a state-of-the-art gym with over 80 locations throughout the United States, with cities that include New York, Miami, Los Angeles, Portland, Orange County, San Diego and the San Francisco Bay Area. The Crunch Fitness brand was built on the ability to fuse fitness with entertainment by creating cutting edge group fitness classes that make our gyms unique, fun and exciting places to sweat! It's our classes that cultivate a gym community, drive the member experience and separate us from the competition. We are looking for Operations Managers to join our team in our Daly City location. To learn more about Crunch, visit www.crunch.com
OVERVIEW: *The Operations Manager ensures that the member experience at Crunch is consistent with the expectations of the brand. They are responsible creating a professional and productive work environment for all employees. They will work as a liaison for members and employees to enhance the Crunch experience.
Requirements: *
One year club/gym experience preferred
Fluent in English (proficient reading and writing skills)
Excellent organizational and communication skills
Strong customer service skills
Ability to successfully multi-task
Strong customer service skills
Good follow up skills
Duties and Responsibilities include but not limited to: *
Hiring, scheduling, training and development of support staff, including front desk, cleaning and juice bar.
Facilitate and administer the stage management checklist as to insure the club maintains high standards of cleanliness.
Ensure the highest levels of customer service with all member interactions and touch points.
Assist in collection of member payments
Ensure the highest execution of all company and club initiatives.
Professionally handle member concerns as it relates to constructive feedback regarding operations, contract requests, such as freezes, cancellations, and billing.
Ensure the club meets standards for maintenance, safety, security, and physical plant operations.
Conduct walk through of the club with club mechanic and maintenance staff utilizing cleaning checklist and forward relevant information as to expeditiously handle operations issues.
Report all equipment and facility issues by utilizing company procedures. Work with mechanics to resolve facility issues expeditiously as to minimize member concerns.
Ensure visible maintenance items are repaired promptly and proper signage is posted.
Train opening and closing managers to prepare club for operations readiness.
Execute the processing/submission and approval of payroll.
Manage employee relation matters such as time and attendance, professional conduct and work performance.
Establish controls of expenses and purchasing of club supplies and maintain at or below budget.
Follow up for quick turnaround of items in dis-repair
Demonstrate ability to articulate variances in expenses versus budget
Communicate effectively by holding weekly and individual meetings with all key club personnel.
POSITION BENEFITS: *Our employees are the reasons Crunch is so successful. So, to make your career as rewarding as possible, here are just a few of the benefits you'll receive as a Full-Time Crunch employee.
Comprehensive medical, dental and vision plans
Group term life insurance
Immediate merchandise discount at all our stores
Paid holidays
Paid vacation days, available upon your hire
Child and dependent care flex plan
Medical flex plan
Long-term disability plan for full-time Associates
Complimentary gym membership through duration of employment
Job Type: Full-time

Pay: $50,000.00 - $55,000.00 per year

Benefits:
Dental Insurance
Employee Discount
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Weekends
Experience:
operations management: 1 year (Preferred)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
www.crunch.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",3.2,"AGT Crunch Acquisition LLC
3.2","Daly City, CA",-1,1001 to 5000 Employees,1989,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),-1
9,President of Large Transportation (Drayage) Company on the West Coast,$53K-$102K (Glassdoor est.),"*President Sought for Major Transportation (Drayage) Company on the West Coast*

We are a large transportation company operating on the West Coast, specializing in drayage and de-consolidation services. We are growing steadily in our current footprint and seek to enter into strategic partnerships in additional markets. Given our growth, we are restructuring our senior leadership team. We have decided to bring on a President to report directly to our existing CEO. Adding a seasoned veteran as President will facilitate our desired growth.

*What we are looking for: *

We need someone who is politically savvy and connected. We have a large presence in the Ports of Oakland, Tacoma and Seattle. We want someone who has experience working with port and city politics to advance not only our agenda, but to advance the industry in general.

We need someone with strong operations experience in transportation. Drayage is a complex process of many moving parts and involving many parties. Our next president must have many years of operations experience and able go deep “into the weeds” in all aspects.

We need someone with customer savvy. You must have experience working with large companies, preferably BCOs and other sophisticated retailers, as well as with the vessel lines. We need someone who has years understanding customer needs and negotiating with Fortune 100 clients. We will be very keen to know what personal relationships you have made in your career and of what caliber.

We need someone with a proven track record in creating and executing sophisticated strategic visions.

*About Us: *

-We are an established leader of drayage, deconsolidation and cross-docking services.

-We engage in international and intermodal drayage, offering transportation services of both import /export and domestic merchandise, dry and refrigerated, for maritime and rail/intermodal customers.

-We offer customers over-the-road transportation.

-We operate an over-the-road, inter- and intra-state brokerage to coordinate greater customer needs.

-We emphasize value-add services for customers who require efficiency, reliability and the ability to provide an intensive level of data regarding all aspects of operation.

-We are considering geographic expansion and further penetration into our existing markets.

*More about our expectations about you: *

-You have 20-plus years in the transportation industry.

-You have deep knowledge of the supply chain process.

-You are a known industry leader.

-Preferably, you have advanced education in supply chain and transportation.

-You have experience in managing operations in multiple markets.

-You have experience shepherding a company through acquisitions and mergers.

-You are politically savvy and connected in the markets in which you manage operations.

-You have strong customer and vessel-line relationships.

*More about the role and company structure: *

-We are a privately held corporation.

-You will report to the CEO/owner.

-The VPs of Marketing, Operations and Sales will report to you.

-This position will have P&L responsibility.

-The CFO reports directly to the CEO.

Please reply to this posting for inquiries.

Job Type: Full-time

Benefits:
* 401(k)
* 401(k) Matching
* Dental Insurance
* Health Insurance
* Life Insurance
* Paid Time Off
* Vision Insurance
Schedule:
* Monday to Friday

Location:
* Oakland, CA 94607 (Required)

Additional Compensation:
* Bonuses
* Other forms

This Company Describes Its Culture as:
* Detail-oriented -- quality and precision-focused
* Stable -- traditional, stable, strong processes
* Team-oriented -- cooperative and collaborative

Company's website:
* www.gsclogistics.com

Benefit Conditions:
* Waiting period may apply

Work Remotely:
* No",5.0,"GSC Logistics, Inc.
5.0","Oakland, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$10 to $25 million (USD),-1
